#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_emperor_female_christian;Empress-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
temple_king_female_catholic;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_king_female_orthodox;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_duke_female_catholic;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_duke_female_orthodox;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_count_female_catholic;Princess-Bishop;Prince évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
city_emperor_female;Grand Princess;Grand prince;Grand Prinz;;Gran Príncipe;;;;;;;;;x
count_title_ruler_consort_saxon;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_english;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_scottish;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_irish;Earl;Comte;Graf;;Conde;;;;;;;;;x
count_title_ruler_consort_welsh;Earl;Comte;Graf;;Conde;;;;;;;;;x
emperor_title_ruler_consort_altaic;Khagan;Khagan;Khagan;;Gran Kan;;;;;;;;;x
emperor_title_ruler_consort_female_altaic;Khatun;Khatoun;Khatun;;Khatun;;;;;;;;;x
king_title_ruler_consort_altaic;Khan;Khan;Khan;;Kan;;;;;;;;;x
king_title_ruler_consort_female_altaic;Khanum;Khanoum;Khanum;;Khanum;;;;;;;;;x
duke_title_ruler_consort_greek;Doux;Doux;Doux;;Duque;;;;;;;;;x
king_title_ruler_consort_greek;Despot;Despote;Despot;;Déspota;;;;;;;;;x
emperor_title_ruler_consort_greek;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x
emperor_title_ruler_consort_russian;Tsar;Tsar;Zar;;Zar;;;;;;;;;x
emperor_title_ruler_consort_female_russian;Tsaritsa;Tsarine;Zarin;;Zarina;;;;;;;;;x
baron_title_ruler_consort_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
count_title_ruler_consort_arabic;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x
duke_title_ruler_consort_arabic;Emir;Émir;Emir;;Emir;;;;;;;;;x
duke_title_ruler_consort_arabic_female;Emira;Émira;Emirin;;Emira;;;;;;;;;x
king_title_ruler_consort_arabic;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
king_title_ruler_consort_arabic_female;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x
baron_title_ruler_consort_turkish;Timariot;Timariote;Timariot;;Timariots;;;;;;;;;x
count_title_ruler_consort_turkish;Bey;Bey;Bey;;Gobernador turco;;;;;;;;;x
duke_title_ruler_consort_turkish;Beylerbey;Beylerbey;Beylerbey;;Gobernador de gobernadores;;;;;;;;;x
king_title_ruler_consort_turkish;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
emperor_title_ruler_consort_turkish;Padishah;Padishah;Padishah;;Emperador Padishah;;;;;;;;;x
baron_title_ruler_consort_iranian;Muqtab;Muqtab;Muqtab;;Muqtab iraní;;;;;;;;;x
