#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCartifact.2;[From.GetTitledName] have died leaving you, [From.GetHerHis] [GetFromRelation], [From.GetHerHis] most prized possessions.;;;;;;;;;;;;;x
EVTOPTAartifact.2;[From.GetSheHeCap] left this world too soon.;;;;;;;;;;;;;x
EVTDESCartifact.100;[From.GetTitledFirstName] have some possessions that doesn't befit [From.GetHerHis] positions as a prisoner, [From.GetSheHe] should be relieved of them.;;;;;;;;;;;;;x
EVTOPTAartifact.100;What do we have here?;;;;;;;;;;;;;x
EVTTOOLTIPartifact.101;[Root.GetTitledName] already owns a Gwyhyr Sword;;;;;;;;;;;;;x
EVTTOOLTIPartifact.102;[Root.GetTitledName] already owns a Nehalenia's Mirror;;;;;;;;;;;;;x
EVTTOOLTIPartifact.103;[Root.GetTitledName] already owns a Purple Living Bone;;;;;;;;;;;;;x
EVTTOOLTIPartifact.104;[Root.GetTitledName] owns a Purple Living Bone;;;;;;;;;;;;;x
EVTTOOLTIPartifact.105;[Root.GetTitledName] already owns a Conynhaela;;;;;;;;;;;;;x
EVTTOOLTIPartifact.106;[Root.GetTitledName] owns a Conynhaela;;;;;;;;;;;;;x
EVTTOOLTIPartifact.107;[Root.GetTitledName] already owns Purple Living Bone and Conynhaela;;;;;;;;;;;;;x
EVTTOOLTIPartifact.108;[Root.GetTitledName] already owns Zefhar Bow;;;;;;;;;;;;;x
EVTTOOLTIPartifact.109;[Root.GetTitledName] already owns Seeing Stone;;;;;;;;;;;;;x
EVTTOOLTIPartifact.110;[Root.GetTitledName] owns Purple Living Bone and Conynhaela;;;;;;;;;;;;;x
EVTTOOLTIPartifact.111;[Root.GetTitledName] owns Purple Living Bone and Conynhaela;;;;;;;;;;;;;x
EVTOPTBartifact.100;On second thought [From.GetSheHe] can keep them.;;;;;;;;;;;;;x
EVTDESCartifact.101;One of the [FromFrom.GetTitledFirstName] possessions was a Gwyhyr sword, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.101;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.101;I will give it some relative.;;;;;;;;;;;;;x
EVTOPTCartifact.101;Maybe [Root.job_marshal.GetTitledName] will be able to put it to use.;;;;;;;;;;;;;x
EVTDESCartifact.102;One of the [FromFrom.GetTitledFirstName] possessions was a Nehalenia's Mirror, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.102;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.102;I will give it some relative.;;;;;;;;;;;;;x
EVTOPTCartifact.102;It will make a fine gift for [Root.Spouse.GetFirstName].;;;;;;;;;;;;;x
EVTDESCartifact.103;One of the [FromFrom.GetTitledFirstName] possessions was a Purple Living Bone, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.103;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.103;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.104;One of the [FromFrom.GetTitledFirstName] possessions was Purple Living Bone and Conynhaela, but I already own Purple Living Bone myself. Since I don't need it anymore, what to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.104;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.104;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.105;One of the [FromFrom.GetTitledFirstName] possessions was a Conynhaela, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.105;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.105;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.106;One of the [FromFrom.GetTitledFirstName] possessions was Purple Living Bone and Conynhaela, but I already own Conynhaela myself. Since I don't need it anymore, what to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.106;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.106;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.107;One of the [FromFrom.GetTitledFirstName] possessions was Purple Living Bone and Conynhaela, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.107;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.107;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.108;One of the [FromFrom.GetTitledFirstName] possessions was a Zefhar bow, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.108;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.108;I will give it some relative.;;;;;;;;;;;;;x
EVTOPTCartifact.108;Maybe [Root.job_marshal.GetTitledName] will be able to put it to use.;;;;;;;;;;;;;x
EVTDESCartifact.109;One of the [FromFrom.GetTitledFirstName] possessions was a Seeing Stone, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.109;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.109;I will give it some relative.;;;;;;;;;;;;;x
