#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCbanker.2;The bank has reviewed your request for a loan. After much deliberation they have decide to offer you loan up to 300 gold coins. The terms for loan are loan state that it will have to be repaid in ten year time with one time 20 percent interest.;;;;;;;;;;;;;x
EVTOPTAbanker.2;I will take the whole sum.;;;;;;;;;;;;;x
EVTOPTBbanker.2;200 gold will be enough.;;;;;;;;;;;;;x
EVTOPTCbanker.2;100 gold will be enough.;;;;;;;;;;;;;x
EVTOPTDbanker.2;On second thought I don't need a loan.;;;;;;;;;;;;;x
EVTDESCbanker.3;The bank has reviewed your request for a loan. After much deliberation they have decide to offer you loan up to 200 gold coins. The terms for loan are loan state that it will have to be repaid in ten year time with one time 20 percent interest.;;;;;;;;;;;;;x
EVTOPTAbanker.3;I will take the whole sum.;;;;;;;;;;;;;x
EVTOPTBbanker.3;100 gold will be enough.;;;;;;;;;;;;;x
EVTOPTCbanker.3;On second thought I don't need a loan.;;;;;;;;;;;;;x
EVTDESCbanker.4;The bank has reviewed your request for a loan. After much deliberation they have decide to offer you loan up to 100 gold coins. The terms for loan are loan state that it will have to be repaid in ten year time with one time 20 percent interest.;;;;;;;;;;;;;x
EVTOPTAbanker.4;I will take the whole sum.;;;;;;;;;;;;;x
EVTOPTBbanker.4;On second thought I don't need a loan.;;;;;;;;;;;;;x
EVTDESCbanker.5;The bank has reviewed your request for a loan. After much deliberation they have decide to decline your request for the time.;;;;;;;;;;;;;x
EVTOPTAbanker.5;Damn them.;;;;;;;;;;;;;x
EVTDESCbanker.6;Now that you have enough gold to repay your loan the bank has decided to give you chance you to repay it before term, the interest will stay the same 20 percent, but the bank will look at such action favorably. Of course you can refuse seeing as you still have time.;;;;;;;;;;;;;x
EVTOPTAbanker.6;I will repay the loan.;;;;;;;;;;;;;x
EVTOPTBbanker.6;I still have time.;;;;;;;;;;;;;x
EVTDESCbanker.7;The time has come for you to repay the loan. You can either repay the whole sum now, but seeing these are tough time for everyone, the bank is also willing to take part of the loan and extend the debt for 10 more years without any additional interest.;;;;;;;;;;;;;x
EVTOPTAbanker.7;I will repay the whole loan.;;;;;;;;;;;;;x
EVTOPTBbanker.7;Regrettably I can only repay only part of the loan at this time.;;;;;;;;;;;;;x
EVTOPTCbanker.7;I'm sure we can work something out.;;;;;;;;;;;;;x
bank_extended_loan;The bank extends your time to repay the loan;;;;;;;;;;;;;x
EVTOPTDbanker.7;I can't repay my loan at this time.;;;;;;;;;;;;;x
bank_is_upset;The bank is upset;;;;;;;;;;;;;x
EVTDESCbanker.8;After your previous refusal to repay the loan the bank has left you alone for a while, but now they are back asking you to repay the loan once more.;;;;;;;;;;;;;x
EVTOPTAbanker.8;I will repay the whole loan.;;;;;;;;;;;;;x
EVTOPTBbanker.8;Regrettably I can only repay only part of the loan at this time.;;;;;;;;;;;;;x
EVTOPTCbanker.8;I will not repay the loan, ever!;;;;;;;;;;;;;x
bank_is_very_upset;The bank is very upset;;;;;;;;;;;;;x
EVTDESCbanker.9;The bank is giving you a chance to fix your predecessor's mistake - an unpaid loan. They are willing to give you the same time and even keep the same interest as in the original agreement.;;;;;;;;;;;;;x
EVTOPTAbanker.9;I will repay the whole loan.;;;;;;;;;;;;;x
EVTOPTBbanker.9;I will repay a part of the loan.;;;;;;;;;;;;;x
EVTOPTCbanker.9;I will repay the loan in due time.;;;;;;;;;;;;;x
EVTOPTDbanker.9;It was no mistake.;;;;;;;;;;;;;x
