#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
radowid;Blood of Radovid;;;;;;;;;;;;;x
radowid_desc;This character is descendant of Radovid, one of first three human kings and founder of Redania;;;;;;;;;;;;;x
raven;Blood of Raven;;;;;;;;;;;;;x
raven_desc;This character is descendant of Cerbin, one of first three human kings and founder of Cintra;;;;;;;;;;;;;x
dezmod;Blood of Dezmod;;;;;;;;;;;;;x
dezmod_desc;This character is direct descendant of Dezmod, one of first three human kings and founder of Temeria;;;;;;;;;;;;;x
baldwin;Blood of Baldwin;;;;;;;;;;;;;x
baldwin_desc;This character is direct descendant of Baldwin, the founder of Aedirn;;;;;;;;;;;;;x
unicorn;Blood of Unicorn;;;;;;;;;;;;;x
unicorn_desc;This character is direct descendant of Dagread, the founder of Kaedwen;;;;;;;;;;;;;x
esteril;Blood of Estril;;;;;;;;;;;;;x
esteril_desc;This character is direct descendant of Estril, first of the House of Thyssen to rule Kovir and through his mother's side a decendant of Trodjen founder of Kovir.;;;;;;;;;;;;;x
tyr;Blood of Tyr;;;;;;;;;;;;;x
tyr_desc;This character is direct descendant of Tyr, first master of An Skellig and founder of Clan Tuirseach;;;;;;;;;;;;;x
grymmdjarr;Blood of Grymmdjarr;;;;;;;;;;;;;x
grymmdjarr_desc;This character is direct descendant of Grymmdjarr, first lord of Ard Skellig and founder of Clan an Craite;;;;;;;;;;;;;x
sove;Blood of Sove;;;;;;;;;;;;;x
sove_desc;This character is direct descendant of Sove, first lord of  Spikeroog and founder of Clan Brokvar;;;;;;;;;;;;;x
otkell;Blood of Otkell;;;;;;;;;;;;;x
otkell_desc;This character is direct descendant of Otkell, first lord of Hindarsfjall and founder of Clan Heymaey;;;;;;;;;;;;;x
modolf;Blood of Modolf;;;;;;;;;;;;;x
modolf_desc;This character is direct descendant of Modolf, first lord of Undvik and founder of Clan Drummond;;;;;;;;;;;;;x
broddr;Blood of Broddr;;;;;;;;;;;;;x
broddr_desc;This character is direct descendant of Broddr, first lord of Faroe and founder of Clan Dimun;;;;;;;;;;;;;x
