#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
# A_toggle_decisions
open_employment_decisions;Open Employement Decisions;;;;;;;;;;;;;x
open_employment_decisions_desc;Open the employment decisions, which allow you to hire courtiers with specific skills.;;;;;;;;;;;;;x
close_employment_decisions;Close Employement Decisions;;;;;;;;;;;;;x
close_employment_decisions_desc;Close the employment decisions.;;;;;;;;;;;;;x
open_marriage_decisions;Open Marriage Decisions;;;;;;;;;;;;;x
open_marriage_decisions_desc;Open the arranged marriage decisions, which will allow you to arrange marriages for your courtiers.;;;;;;;;;;;;;x
close_marriage_decisions;Close Marriage Decisions;;;;;;;;;;;;;x
close_marriage_decisions_desc;Close the arranged marriage decisions.;;;;;;;;;;;;;x
open_spell_decisions;Open Spell Decisions;;;;;;;;;;;;;x
open_spell_decisions_desc;Open the spell decisions, which allow you or your sorcerer to cast variou spells.;;;;;;;;;;;;;x
close_spell_decisions;Close Spell Decisions;;;;;;;;;;;;;x
close_spell_decisions_desc;Close the spell decisions.;;;;;;;;;;;;;x
open_prisoner_decisions;Open Prisoner Decisions;;;;;;;;;;;;;x
open_prisoner_decisions_desc;Open the prisoner decisions, which allow you to torture or pounish your prisoners.;;;;;;;;;;;;;x
close_prisoner_decisions;Close Prisoner Decisions;;;;;;;;;;;;;x
close_prisoner_decisions_desc;Close the prisoner decisions.;;;;;;;;;;;;;x
open_edict_decisions;Open Edict Decisions;;;;;;;;;;;;;x
open_edict_decisions_desc;Open the edict decisions, which allow you to pass new crown laws more than once per lifetime.;;;;;;;;;;;;;x
close_edict_decisions;Close Edict Decisions;;;;;;;;;;;;;x
close_edict_decisions_desc;Close the edict decisions.;;;;;;;;;;;;;x
# artifact_decisions_W
use_purple_living_bone_and_conynhaela;Use Purple Living Bone and Conynhaela;;;;;;;;;;;;;x
use_purple_living_bone_and_conynhaela_desc;I can use these herb togethr to cure my injuries.;;;;;;;;;;;;;x
# banker_decisions_W
borrow_money;Take a Loan;;;;;;;;;;;;;x
borrow_money_desc;I can request a loan from the bank, the term to repay the loan is 10 years with 20 percent interest. The size of the loan can be up to 300¤.;;;;;;;;;;;;;x
bank_is_deliberating;Bank is already deliberating the size of loan;;;;;;;;;;;;;x
unsettled_debts;Have unsettled debt with bank;;;;;;;;;;;;;x
decide_size_of_loan;The bank will decide the size of loan.;;;;;;;;;;;;;x
repay_old_loan_100;Repay an old loan;;;;;;;;;;;;;x
repay_old_loan_100_desc;I can repay an old unsettled loan of 100¤.;;;;;;;;;;;;;x
repay_old_loan_200;Repay an old loan;;;;;;;;;;;;;x
repay_old_loan_200_desc;I can repay an old unsettled loan of 200¤.;;;;;;;;;;;;;x
repay_old_loan_300;Repay an old loan;;;;;;;;;;;;;x
repay_old_loan_300_desc;I can repay an old unsettled loan of 300¤.;;;;;;;;;;;;;x
# capital_movement_decisions_W
make_wyzima_capital;Make Wyzima Capital;;;;;;;;;;;;;x
make_wyzima_capital_desc;The city of Wyzima has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Kingdom.;;;;;;;;;;;;;x
wyzima_capital;Wyzima once more becomes the seat of your power.;;;;;;;;;;;;;x
make_tretogor_capital;Make Tretogor Capital;;;;;;;;;;;;;x
make_tretogor_capital_desc;The city of Tretogor has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Kingdom.;;;;;;;;;;;;;x
tretogor_capital;Tretogor once more becomes the seat of your power.;;;;;;;;;;;;;x
make_nilfgaard_capital;Make Nilfgaard Capital;;;;;;;;;;;;;x
make_nilfgaard_capital_desc;The city of Nilfgaard has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Empire.;;;;;;;;;;;;;x
# conversion_decisions_W
convert_to_dwarf_religion;Convert to Dwarven Religion;;;;;;;;;;;;;x
convert_to_dwarf_religion_desc;The dwarves have always had their own distinct beliefs and rituals that I have strayed from, it's time to embrace them once more.;;;;;;;;;;;;;x
convert_to_dwarf_culture;Convert to Dwarven Culture;;;;;;;;;;;;;x
convert_to_dwarf_culture_desc;The dwarves have always had their own distinct culture and traditions that I have strayed from, it's time to embrace them once more.;;;;;;;;;;;;;x
convert_to_elf_religion;Convert to Dana Meadbh Religion;;;;;;;;;;;;;x
convert_to_elf_religion_desc;The elves have always had their own distinct beliefs and rituals that I have strayed from, it's time to embrace them once more.;;;;;;;;;;;;;x
convert_to_elf_culture;Convert to Elven Culture;;;;;;;;;;;;;x
convert_to_elf_culture_desc;The elves have always had their own distinct culture and traditions that I have strayed from, it's time to embrace them once more.;;;;;;;;;;;;;x
convert_to_dryad_religion;Convert to Nature Religion;;;;;;;;;;;;;x
convert_to_dryad_religion_desc;The dryads have always had their own distinct beliefs and rituals that I have strayed from, it's time to embrace them once more.;;;;;;;;;;;;;x
convert_to_dryad_culture;Convert to Dryad Culture;;;;;;;;;;;;;x
convert_to_dryad_culture_desc;The dryads have always had their own distinct culture and traditions that I have strayed from, it's time to embrace them once more.;;;;;;;;;;;;;x
# edict_decisions_W
change_crown_obligation;Change Crown Obligation;;;;;;;;;;;;;x
change_crown_obligation_desc;You can issue an edict once per 10 years to change the Crown Obligation law.;;;;;;;;;;;;;x
change_crown_levy;Change Crown Levy;;;;;;;;;;;;;x
change_crown_levy_desc;You can issue an edict once per 10 years to change the Crown Levy law.;;;;;;;;;;;;;x
change_tolerance;Change Tolerance;;;;;;;;;;;;;x
change_tolerance_desc;You can issue an edict once per 10 years to change the Tolerance law.;;;;;;;;;;;;;x
# employment_decisions_W
employ_priest_female;Invite Priestess to Court;;;;;;;;;;;;;x
employ_priest_female_desc;Scour the land for a priestess to join my court and advise me on religious matters.;;;;;;;;;;;;;x
employ_soldier;Invite Soldier to Court;;;;;;;;;;;;;x
employ_soldier_desc;Invite a promising soldier to court, to aid with military matters.;;;;;;;;;;;;;x
employ_spy;Invite Spy to Court;;;;;;;;;;;;;x
employ_spy_desc;Invite a promising spy to court, to aid with matters of intrigue.;;;;;;;;;;;;;x
employ_diplomat;Invite Diplomat to Court;;;;;;;;;;;;;x
employ_diplomat_desc;Invite a promising diplomat to court, to aid with diplomatic matters.;;;;;;;;;;;;;x
employ_witcher;Invite Witcher to Court;;;;;;;;;;;;;x
employ_witcher_desc;Spread the word that you are looking for a witcher to employ.;;;;;;;;;;;;;x
already_invited_witcher;Already invited a witcher;;;;;;;;;;;;;x
employ_sorcerer;Invite Sorcerer to Court;;;;;;;;;;;;;x
employ_sorcerer_desc;Invite a learned sorcerer from one of the magic academies.;;;;;;;;;;;;;x
# faction_decisions_W
faction_lower_crown_levy_ultimatum;Demand Lower Crown Levy;;;;;;;;;;;;;x
faction_lower_crown_levy_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding lower Crown Levy. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_lower_crown_obligation_ultimatum;Demand Lower Crown Obligation;;;;;;;;;;;;;x
faction_lower_crown_obligation_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding lower Crown Obligation. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_lower_tolerance_ultimatum;Demand Lower Tolerance;;;;;;;;;;;;;x
faction_lower_tolerance_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding lower Tolerance. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_raise_tolerance_ultimatum;Demand Higher Tolerance;;;;;;;;;;;;;x
faction_raise_tolerance_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding higher Tolerance. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_succ_tanistry_ultimatum;Demand Succession by Tanistry;;;;;;;;;;;;;x
