#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
play_dice_poker;Play a game of Dice Poker;;;;;;;;;;;;;x
play_dice_poker_desc;Dice poker is an addictive game, played throughout the Continent;;;;;;;;;;;;;x
#Variable names
roll;Roll;;;;;;;;;;;;;x
round;Round;;;;;;;;;;;;;x
die1;1st Die;;;;;;;;;;;;;x
die2;2nd Die;;;;;;;;;;;;;x
die3;3rd Die;;;;;;;;;;;;;x
die4;4th Die;;;;;;;;;;;;;x
die5;5th Die;;;;;;;;;;;;;x
iDie;Die index;;;;;;;;;;;;;x
die;Die value;;;;;;;;;;;;;x
#Events
dice_poker.0.title;Dice Poker;;;;;;;;;;;;;x
dice_poker.0.desc;[FromFrom.GetFullName] wishes to play a game of dice poker.;;;;;;;;;;;;;x
dice_poker.0.a;Yes, this should be fun !;;;;;;;;;;;;;x
dice_poker.0.b;No, I don't have time for this.;;;;;;;;;;;;;x
dice_poker.1.title;Round [Root.round.GetValue];;;;;;;;;;;;;x
dice_poker.1.desc;Dice poker game;;;;;;;;;;;;;x
dice_poker.1.a;May [Root.Religion.GetRandomGodName] bring me luck !;;;;;;;;;;;;;x
#dice_poker.2.title;Round [Root.round.GetValue], Roll [Root.roll.GetValue];;;;;;;;;;;;;x
dice_poker.2.title;Roll [Root.roll.GetValue];;;;;;;;;;;;;x
dice_poker.2.desc0;[From.GetFullName] has accepted my proposal to play a game of dice poker.;;;;;;;;;;;;;x
dice_poker.2.desc1;I've rolled:   [Root.die1.GetValue]  [Root.die2.GetValue]  [Root.die3.GetValue]  [Root.die4.GetValue]  [Root.die5.GetValue];;;;;;;;;;;;;x
dice_poker.2.desc2;I've rolled:   [Root.die1.GetValue]  [Root.die2.GetValue]  [Root.die3.GetValue]  [Root.die4.GetValue]  [Root.die5.GetValue]\n\n[From.GetFirstName] has:   [From.die1.GetValue]  [From.die2.GetValue]  [From.die3.GetValue]  [From.die4.GetValue]  [From.die5.GetValue];;;;;;;;;;;;;x
dice_poker.2.desc3;[From.GetFirstName] has rolled:   [From.die1.GetValue]  [From.die2.GetValue]  [From.die3.GetValue]  [From.die4.GetValue]  [From.die5.GetValue];;;;;;;;;;;;;x
dice_poker.2.a;Let's see what [From.GetFirstName] does...;;;;;;;;;;;;;x
dice_poker.5.a;Re-roll all!;;;;;;;;;;;;;x
dice_poker.5.b;Select the dice to re-roll;;;;;;;;;;;;;x
dice_poker.5.c;Pass;;;;;;;;;;;;;x
dice_poker.5.d;Keep the [Root.rank1.GetValue]s;;;;;;;;;;;;;x
dice_poker.5.e;Keep the [Root.rank1.GetValue]s and the [Root.rank2.GetValue]s;;;;;;;;;;;;;x
#dice_poker.3.title;Round [Root.round.GetValue];;;;;;;;;;;;;x
dice_poker.3.title;Roll [Root.roll.GetValue];;;;;;;;;;;;;x
dice_poker.3.desc;Current dice: [Root.die1.GetValue] [Root.die2.GetValue] [Root.die3.GetValue] [Root.die4.GetValue] [Root.die5.GetValue]\n What to do with [Root.die.GetValue] ?;;;;;;;;;;;;;x
dice_poker.3.a;Keep the dice;;;;;;;;;;;;;x
dice_poker.3.b;Re-roll the dice;;;;;;;;;;;;;x
dice_poker.3.c;Let's re-roll !;;;;;;;;;;;;;x
reroll_die1;Re-roll the §Y[Root.die1.GetValue]§!\n;;;;;;;;;;;;;x
reroll_die2;Re-roll the §Y[Root.die2.GetValue]§!\n;;;;;;;;;;;;;x
reroll_die3;Re-roll the §Y[Root.die3.GetValue]§!\n;;;;;;;;;;;;;x
reroll_die4;Re-roll the §Y[Root.die4.GetValue]§!\n;;;;;;;;;;;;;x
reroll_die5;Re-roll the §Y[Root.die5.GetValue]§!\n;;;;;;;;;;;;;x
dice_poker.3.e;Back;;;;;;;;;;;;;x
#dice_poker.4.title;Result of Round [Root.round.GetValue];;;;;;;;;;;;;x
dice_poker.4.title;Results;;;;;;;;;;;;;x
dice_poker.4.desc;My hand is:   [Root.die1.GetValue]  [Root.die2.GetValue]  [Root.die3.GetValue]  [Root.die4.GetValue]  [Root.die5.GetValue]\n\n[From.GetFirstName]'s hand is:   [From.die1.GetValue]  [From.die2.GetValue]  [From.die3.GetValue]  [From.die4.GetValue]  [From.die5.GetValue];;;;;;;;;;;;;x
dice_poker.4.a;My Five-of-a-Kind wins!;;;;;;;;;;;;;;x
dice_poker.4.b;My Four-of-a-Kind wins!;;;;;;;;;;;;;;x
dice_poker.4.c;My Full House wins!;;;;;;;;;;;;;;x
dice_poker.4.d;My Six High Straight wins!;;;;;;;;;;;;;;x
dice_poker.4.e;My Five High Straight wins!;;;;;;;;;;;;;;x
dice_poker.4.f;My Three-of-a-Kind wins!;;;;;;;;;;;;;;x
dice_poker.4.g;My Two Pairs wins!;;;;;;;;;;;;;;x
dice_poker.4.h;My Pair wins!;;;;;;;;;;;;;;x
dice_poker.4.i;I've won this game with no combination !;;;;;;;;;;;;;;x
dice_poker.4.j;This game ends in a draw... How rare !;;;;;;;;;;;;;;x
dice_poker.4.k;I've lost to [From.GetFirstName]'s Five-of-a-Kind.;;;;;;;;;;;;;;x
dice_poker.4.l;I've lost to [From.GetFirstName]'s Four-of-a-Kind.;;;;;;;;;;;;;;x
dice_poker.4.m;I've lost to [From.GetFirstName]'s Full House.;;;;;;;;;;;;;;x
dice_poker.4.n;I've lost to [From.GetFirstName]'s Six High Straight.;;;;;;;;;;;;;;x
dice_poker.4.o;I've lost to [From.GetFirstName]'s Five High Straight.;;;;;;;;;;;;;;x
dice_poker.4.p;I've lost to [From.GetFirstName]'s Three-of-a-Kind.;;;;;;;;;;;;;;x
dice_poker.4.q;I've lost to [From.GetFirstName]'s Two Pairs.;;;;;;;;;;;;;;x
dice_poker.4.r;I've lost to [From.GetFirstName]'s Pair.;;;;;;;;;;;;;;x
dice_poker.4.s;I've lost to [From.GetFirstName]'s dice.;;;;;;;;;;;;;;x
dice_poker.9.title;Dice Poker;;;;;;;;;;;;;x
dice_poker.9.desc;[From.GetFullName] has declined the game.;;;;;;;;;;;;;x
dice_poker.9.a;Another time perhaps.;;;;;;;;;;;;;x
lost_last_game;Lost our last dice poker game;;;;;;;;;;;;;x
won_last_game;Won our last dice poker game;;;;;;;;;;;;;x
