#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCjob.100;Not unlike every other morning, a bunch of noble and peasant petitioners assembled in the great hall with various demands and requests. It is your job as a Chancellor to hear them out and decide the eventual compensations for the wrongs they might have suffered, even if not all of their claims will turn out to be justified.;;;;;;;;;;;;;x
EVTOPTAjob.100;I will hear them all out and compensate them justly.;;;;;;;;;;;;;x
EVTOPTBjob.100;Only those of noble birth deserve to be heard or compensated.;;;;;;;;;;;;;x
EVTOPTCjob.100;Only those with proper forms and documents will be heard.;;;;;;;;;;;;;x
EVTOPTDjob.100;[Root.GetRandomGodName] will compensate you in the afterlife.;;;;;;;;;;;;;x
EVTDESCjob.101;During the last feast organized by your liege a rather serious diplomatic incident occurred when a foreign dignitary wasn't assigned a seat and had to sit beside some unimportant peasants.;;;;;;;;;;;;;x
EVTOPTAjob.101;We should make an official apology.;;;;;;;;;;;;;x
EVTOPTBjob.101;But those ribs were so tasty.;;;;;;;;;;;;;x
EVTOPTCjob.101;Why do I always have to talk us out of everything?;;;;;;;;;;;;;x
EVTDESCjob.102;A foreign envoy just arrived at court immediatly asking for an official meeting with the Chancellor. The guards are ready and waiting for your eventual orders on what to do with him.;;;;;;;;;;;;;x
EVTOPTAjob.102;Our kindness is golden.;;;;;;;;;;;;;x
EVTOPTBjob.102;He will get an audiance, nothing more.;;;;;;;;;;;;;x
EVTOPTCjob.102;We don't need filthy foreigners wandering around!;;;;;;;;;;;;;x
EVTDESCjob.103;Dreadful news just came to your attention. A close family member of your liege was seen coming out of a brothel in [Root.Capital.GetName] more than once recently arising doubts in the local populace. Some going as far as claiming that even the liege [Root.Liege.GetHerHim]self has [Root.Liege.GetHerHis] head more focused on whores than on the well-being of the realm.;;;;;;;;;;;;;x
EVTOPTAjob.103;Silence is golden.;;;;;;;;;;;;;x
EVTOPTBjob.103;Publicly deny everything.;;;;;;;;;;;;;x
EVTOPTCjob.103;Only the [Root.GetRandomGodName] can save his sinner soul!;;;;;;;;;;;;;x
EVTDESCjob.104;A foreign diplomat just arrived at court bringing along with him many gifts from his lord. While meeting with him he was kind enough to hint that if you made sure the gifts were accepted a deal was going to be struck. As a consequence of it you would have your fair share of wealth as well.;;;;;;;;;;;;;x
EVTOPTAjob.104;I see what you're saying.;;;;;;;;;;;;;x
EVTOPTBjob.104;My [Root.Liege.GetTitle] will be very happy.;;;;;;;;;;;;;x
EVTOPTCjob.104;[Root.GetRandomGodName] forbids! I will not deal with infidels.;;;;;;;;;;;;;x
EVTDESCjob.105;During the last feast organized by your liege a rather serious diplomatic incident occurred when a drunken foreign envoy called my liege's mother a cunt and suggested that what came out of her would surely be even worse than that.;;;;;;;;;;;;;x
EVTOPTAjob.105;Off with his head!;;;;;;;;;;;;;x
EVTOPTBjob.105;We demand compensations.;;;;;;;;;;;;;x
EVTOPTCjob.105;[Root.GetRandomGodName] will forgive his carelessness.;;;;;;;;;;;;;x
EVTDESCjob.110;A prominent philosopher recently came out with a book that could undermine the peasants' beliefs in [Root.GetRandomGodName] and the strength of the realm with it. You cannot afford being idle with those dire words flowing around the mouths of the peasants.  A course of action has to be decided.;;;;;;;;;;;;;x
EVTOPTAjob.110;There is wisdom in his words.;;;;;;;;;;;;;x
EVTOPTBjob.110;A bit of reinterpretation here and there...;;;;;;;;;;;;;x
EVTOPTCjob.110;To the stake!;;;;;;;;;;;;;x
EVTDESCjob.111;Horrible news have reached your ears: the peasants in [Root.Capital.GetName] are increasingly talking about how the church is only lustful and sinful. You have to be careful on what to do on the matter.;;;;;;;;;;;;;x
EVTOPTAjob.111;There is truth in those words.;;;;;;;;;;;;;x
EVTOPTBjob.111;Their fervor can be used to our cause.;;;;;;;;;;;;;x
EVTOPTCjob.111;Their burning will make a fine show.;;;;;;;;;;;;;x
EVTDESCjob.112;A whole lot of angered peasants showed up at your doorstep with a fair looking wench who they claim is no less than a witch. 'Her blue eyes have something evil about them', the leader of the mob says, and when he asked her what she was doing with all those herbs she picked up in the fields she wasn't able to give him an acceptable answer, hence she must be a witch.;;;;;;;;;;;;;x
EVTOPTAjob.112;The lash will suffice.;;;;;;;;;;;;;x
EVTOPTBjob.112;[Root.GetRandomGodName] is merciful.;;;;;;;;;;;;;x
EVTOPTCjob.112;Burn the witch!;;;;;;;;;;;;;x
EVTDESCjob.113;Appalling rumors has reached your ears. Your liege has been increasingly spotted coming in and out of one of the most luxurious brothels of the capital, and it is now murmured that [Root.Liege.GetSheHe] spends more time whoring than caring about the realm.;;;;;;;;;;;;;x
EVTOPTAjob.113;A donation will make [Root.GetRandomGodName] extra merciful.;;;;;;;;;;;;;x
EVTOPTBjob.113;Love and be loved in return!;;;;;;;;;;;;;x
EVTOPTCjob.113;Even if [Root.GetRandomGodName] forgives such sins, I can not!;;;;;;;;;;;;;x
EVTDESCjob.120;The realm's debt towards foreign banks and crowns is higher than ever. The representatives of those who are owed money are suggesting that if you don't pay them back immediatly they will raise the interest of another 10%. Something we truly cannot afford right now in those times of financial duress.;;;;;;;;;;;;;x
EVTOPTAjob.120;Some more gold will ease their worries.;;;;;;;;;;;;;x
EVTOPTBjob.120;What a bunch of vultures.;;;;;;;;;;;;;x
EVTOPTCjob.120;An extra tax will do the trick.;;;;;;;;;;;;;x
EVTDESCjob.121;The latest economic policies you suggested are turning out to be much less effective than anticipated. Now the coffers of the realm are empty and many are starting to claim that you are to blame for it.;;;;;;;;;;;;;x
EVTOPTAjob.121;My policies are correct, but only in long-term.;;;;;;;;;;;;;x
EVTOPTBjob.121;Economy will recover, but for now I can gather funds for immediate expenses.;;;;;;;;;;;;;x
EVTOPTCjob.121;An extra tax will save our coffers.;;;;;;;;;;;;;x
EVTDESCjob.122;These are hard times for the realm, a war is going on and the enemies is at the doorstep. Your liege is asking you to find more gold to finance it. After a lot of calculations you realized there are still opportunities to find wealth out there for those who aren't afraid of getting their hands a little dirty in the process.;;;;;;;;;;;;;x
EVTOPTAjob.122;If we cut some corners here and there.;;;;;;;;;;;;;x
EVTOPTBjob.122;I have a gift for finding gold.;;;;;;;;;;;;;x
EVTOPTCjob.122;The smallfolk will understand an extra tax.;;;;;;;;;;;;;x
EVTDESCjob.123;An increasing number of pious men together with many peasants are starting to complain about the presence of dwarven bankers in the realm, claiming that such practices are no less than the devil's work. They demand that you should make them stop at once, no matter what the repercussions might be.;;;;;;;;;;;;;x
EVTOPTAjob.123;They are integral part of our economy.;;;;;;;;;;;;;x
EVTOPTBjob.123;After my explanations they will be sure to understand the neccessity.;;;;;;;;;;;;;x
EVTOPTCjob.123;[Root.GetRandomGodName] forbids such practices.;;;;;;;;;;;;;x
EVTDESCjob.124;An envoy of foreign merchants just arrived at court asking for a meeting with the Treasurer straight away. They showered you with gold,  jewels and other valuables and promised a much richer gifts if you were to reach some kind of trade agreement with them.;;;;;;;;;;;;;x
EVTOPTAjob.124;We'll take their gifts and smile them away.;;;;;;;;;;;;;x
EVTOPTBjob.124;I can see profit.;;;;;;;;;;;;;x
EVTOPTCjob.124;We'll trade their heads on a spike!;;;;;;;;;;;;;x
EVTDESCjob.125;Your liege's spending seems to be endless. There isn't a day when whole sacks of coins simply not disappear towards another crazy expense making your job as a treasurer twice as hard and thrice as troubling. Something must be done about it?;;;;;;;;;;;;;x
