#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPmajor.1;Unite the North;;;;;;;;;;;;;x
EVTNAMEmajor.1;The North is United;;;;;;;;;;;;;x
EVTDESCmajor.1;After long years of seperation the North is finally united under one crown for the first time by the hands of [Root.GetTitledFirstName]. Finally it will stands together against the threat of Nilfgaard from south as equal. But this is just the first step on the path of glory, there are still lands to conquer and add to our fold.;;;;;;;;;;;;;x
EVTOPTAmajor.1;Long live!;;;;;;;;;;;;;x
EVTNAMEmajor.2;The North is United;;;;;;;;;;;;;x
EVTDESCmajor.2;[From.GetTitledFirstName] have proclaimed [From.GetHerHim]self the ruler of a new and united North.;;;;;;;;;;;;;x
EVTOPTAmajor.2;Can it be true?;;;;;;;;;;;;;x
EVTTOOLTIPmajor.10;Create Dwarf Empire;;;;;;;;;;;;;x
EVTNAMEmajor.10;Empire of Dwarves;;;;;;;;;;;;;x
EVTDESCmajor.10;The dwarves were once numerous, but with appearance of humans we were slowly pushed back. Recently we had one last enclave - the Makaham, but under the rule [Root.GetTitledFirstName] we have spread once more and pushed back the humans. This is beginning of new age for dwarves.;;;;;;;;;;;;;x
EVTOPTAmajor.10;Long live!;;;;;;;;;;;;;x
EVTNAMEmajor.11;Empire of Dwarves;;;;;;;;;;;;;x
EVTDESCmajor.11;Under the rule of [From.GetTitledFirstName] the dwarves have created a new realm for themselves.;;;;;;;;;;;;;x
EVTOPTAmajor.11;Can it be true?;;;;;;;;;;;;;x
EVTTOOLTIPmajor.20;Create Hen Caerme;;;;;;;;;;;;;x
EVTNAMEmajor.20;Rebirth of Hen Caerme;;;;;;;;;;;;;x
EVTDESCmajor.20;A new land for elves has been carved from the human realms by the hands of [Root.GetTitledFirstName]. With the creation of Hen Caerme the elves will no longer be opressed. We will finally be free, but it is not the end, just the first step on the long path to restore our ancient legacy.;;;;;;;;;;;;;x
EVTOPTAmajor.20;Long live!;;;;;;;;;;;;;x
EVTNAMEmajor.21;Rebirth of Hen Caerme;;;;;;;;;;;;;x
EVTDESCmajor.21;[From.GetTitledFirstName] have created a new elven realm, claiming it to be the first step to restore the ancient elven legacy.;;;;;;;;;;;;;x
EVTOPTAmajor.21;Can it be true?;;;;;;;;;;;;;x
