title_sorcerer;Sorcerer;;;;;;;;;;;;;x
title_sorceress;Sorceress;;;;;;;;;;;;;x
title_druid;Druid;;;;;;;;;;;;;x
title_standard_bearer;Standard Bearer;;;;;;;;;;;;;x
title_standard_bearer_desc;Standard Bearer carries the banner of his liege in battle and in court ceremonies.;;;;;;;;;;;;;x
title_captain_of_the_guard;Captain of the Guard;;;;;;;;;;;;;x
title_captain_of_the_guard_desc;Captain of the Guard is honored with leading and organizing the personal guard of his liege.;;;;;;;;;;;;;x
title_court_scribe;Court Scribe;;;;;;;;;;;;;x
title_court_scribe_desc;Court Scribe office has the entrusted with the responsibility of keeping the records for the realm.;;;;;;;;;;;;;x
title_court_engineer;Court Engineer;;;;;;;;;;;;;x
title_court_engineer_desc;Court Engineer has the honorable responsibility of building defenses and siege machines for his liege.;;;;;;;;;;;;;x
title_fairest_maiden;Fairest Maiden;;;;;;;;;;;;;x
title_fairest_maiden_desc;Fairest Maiden is the most alluring woman of the realm.;;;;;;;;;;;;;x
title_royal_mistress;Royal Mistress;;;;;;;;;;;;;x
title_royal_mistress_desc;Royal Mistress is the most adored of the liege's concubines.;;;;;;;;;;;;;x
title_court_witcher;Court Witcher;;;;;;;;;;;;;;;;;;;;;;;;;;;;
title_court_witcher_desc;The office was founded by King Foltest I of Temeria, first granted to Geralt of Rivia. The holder of the office is responsible for various duties in service of the King.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
title_court_bard;Court Bard;;;;;;;;;;;;;x
title_court_bard_desc;Court Bard is an performer responsible for the entertainment of the court.;;;;;;;;;;;;;x
