#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCnilfgaard.2;As the new Emperor of Nilfgaard you enjoy the trust of your vassals, and many believe that under your rule the Empire will reach new heights.;;;;;;;;;;;;;x
EVTOPTAnilfgaard.2;Long live the Emperor!;;;;;;;;;;;;;x
EVTDESCnilfgaard.3;Although you are the new Emperor of Nilfgaard, nobles an peasants alike see you unworthy of throne.;;;;;;;;;;;;;x
EVTOPTAnilfgaard.3;Long live the Emperor?;;;;;;;;;;;;;x
EVTDESCnilfgaard.4;The Nilfgaard Empire have had different rulers - good and bad. Both the nobles and common folk see you as one of the best.;;;;;;;;;;;;;x
EVTOPTAnilfgaard.4;Perfect.;;;;;;;;;;;;;x
EVTDESCnilfgaard.5;Just recently you was seen as one of the greatest Emperors Nilfgaard have ever had, but now for some reason not anymore.;;;;;;;;;;;;;x
EVTOPTAnilfgaard.5;What a loss for the Empire!;;;;;;;;;;;;;x
EVTDESCnilfgaard.10;[Root.Liege.GetTitledName], the so called [Root.Liege.PrimaryTitle.GetFOA] is unworthy of the crown, [Root.Liege.GetHerHis] rule is slowly bringing the glorious Nilfgaardian Empire to ruin, anyone else would be better on the throne...;;;;;;;;;;;;;x
EVTOPTAnilfgaard.10;...even me!;;;;;;;;;;;;;x
EVTDESCnilfgaard.11;[Root.Liege.GetTitledName], the current [Root.Liege.PrimaryTitle.GetFOA] is unworthy of the crown, [Root.Liege.GetHerHis] is bringing the Nilfgaardian Empire and our dynasty to ruin.;;;;;;;;;;;;;x
EVTOPTAnilfgaard.11;I am more worthy candidate to throne.;;;;;;;;;;;;;x
EVTDESCnilfgaard.12;[Root.Liege.GetTitledName], the current [Root.Liege.PrimaryTitle.GetFOA] is unworthy of the crown. Under [Root.Liege.GetHerHis] rule my claim to the throne will be seen in better light.;;;;;;;;;;;;;x
EVTOPTAnilfgaard.12;A perfect chance.;;;;;;;;;;;;;x;x
EVTNAMEnilfgaard.100;The Nilfgaardian Empire Invades;;;;;;;;;;;;;x
EVTDESCnilfgaard.100;The Nilfgaardian Empire has long been eyeing the North for a chance to continue their aggressive expansion even further. It seems like they have seen a chance and have declared war making you their next target.;;;;;;;;;;;;;x
EVTOPTAnilfgaard.100;There is no chance.;;;;;;;;;;;;;x
EVTOPTBnilfgaard.100;The North will face this threat together.;;;;;;;;;;;;;x
EVTTOOLTIPnilfgaard.102;Call in war against the Nilfgaard Empire;;;;;;;;;;;;;x
EVTTOOLTIPnilfgaard.106;Offer white peace;;;;;;;;;;;;;x
EVTOPTCnilfgaard.100;I will never yield.;;;;;;;;;;;;;x
