#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
opinion_job_security_concerns;Concerned About Job Security;;;;;;;;;;;;;x
# crown_laws_W
opinion_increased_crown_obligations;Increased Crown Obligations;;;;;;;;;;;;;x
opinion_increased_crown_levy;Increased Crown Levy;;;;;;;;;;;;;x
opinion_increased_tolerance;Increased Realm Tolernace;;;;;;;;;;;;;x
opinion_decreased_tolerance;Decreased Realm Tolerance;;;;;;;;;;;;;x
tolerance_0_negative_10;Intolerant;;;;;;;;;;;;;x
tolerance_2_negative_20;Tolerant;;;;;;;;;;;;;x
# religious_decisions_W
opinion_restored_to_wiecznego_ognia;Restored to Wiecznego Ognia;;;;;;;;;;;;;x
# W_factions
opinion_lowered_crown_levy;Recently Lowered Crown Levy;;;;;;;;;;;;;x
opinion_lowered_crown_obligation;Recently Lowered Crown Obligation;;;;;;;;;;;;;x
opinion_lowered_tolerance;Recently Lowered Tolerance;;;;;;;;;;;;;x
opinion_raised_tolerance;Recently Raised Tolerance;;;;;;;;;;;;;x
# vassal_decisions_W
opinion_sacrificed_family;Sacrifice Kin;;;;;;;;;;;;;x
opinion_forced_to_relinquish_claims;Forced to Relinquish Claims;;;;;;;;;;;;;x
opinion_raped_me;Raped Me;;;;;;;;;;;;;x
opinion_raped_spouse;Raped Spouse;;;;;;;;;;;;;x
# W_CB_types
opinion_invaded;Invaded;;;;;;;;;;;;;x
opinion_conquered;Conquered;;;;;;;;;;;;;x
# W_conversion_events
opinion_adopted_foreign_beliefs;Adopted Foreign Beliefs;;;;;;;;;;;;;x
# W_court_events
opinion_amused;Amused;;;;;;;;;;;;;x
# W_feast_events
opinion_velen;Hosted Velen Celebration;;;;;;;;;;;;;x
opinion_birke;Hosted Birke Celebration;;;;;;;;;;;;;x
opinion_refused_invitation;Refused Celebration Invitation;;;;;;;;;;;;;x
# W_magic_events
opinion_left_council;Left Council;;;;;;;;;;;;;x
# W_regency_events
opinion_regent_changed_laws;Changed Realm Laws;;;;;;;;;;;;;x
# W_rumors_events
denied_squirrel_rumour;Denied the Scoiatael Rumor;;;;;;;;;;;;;x
suspected_squirrel_rumour;Suspected Scoiatael Supporter;;;;;;;;;;;;;x
embraced_squirrel_rumour;A Scoiatael Supporter;;;;;;;;;;;;;;x
# W_scoiatael_events
opinion_supported_revolt;Supported My Revolt;;;;;;;;;;;;;x
# W_witcher_events
# W_plots
opinion_charmed;Charmed by Magic;;;;;;;;;;;;;x
