#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCpersonality.1;I have a fun game I can play together with my friends - hit the pointy-eared freak.;;;;;;;;;;;;;x
EVTOPTApersonality.1;It's fun!;;;;;;;;;;;;;x
EVTDESCpersonality.2;My [GetFromRelation] [From.GetFirstName] with some other children have been bullying an elf child.;;;;;;;;;;;;;x
EVTOPTApersonality.2;Non-humans deserve no pity.;;;;;;;;;;;;;x
EVTOPTBpersonality.2;[From.GetSheHeCap] should not bully someone because he looks different.;;;;;;;;;;;;;x
EVTDESCpersonality.3;My [GetFromRelation] said I shouldn't bully non-humans.;;;;;;;;;;;;;x
EVTOPTApersonality.3;Oh, well.;;;;;;;;;;;;;x
EVTDESCpersonality.4;Some of my friends look different than me.;;;;;;;;;;;;;x
EVTOPTApersonality.4;It's funny to play with them.;;;;;;;;;;;;;x
EVTDESCpersonality.5;My [GetFromRelation] [From.GetFirstName] has been seen playing with some non-human children.;;;;;;;;;;;;;x
EVTOPTApersonality.5;[From.GetSheHeCap] can play with whom [From.GetSheHe] wants.;;;;;;;;;;;;;x
EVTOPTBpersonality.5;Humans should not mingle with lesser races.;;;;;;;;;;;;;x
EVTDESCpersonality.6;My [GetFromRelation] forbade me from playing with non-humans.;;;;;;;;;;;;;x
EVTOPTApersonality.6;Who will I play with now.;;;;;;;;;;;;;x
EVTDESCpersonality.10;A courtier asked me to resolve his quarrel with a servant - an elf. The dispute was a trivial matter and the elf was right no matter how you look at it.;;;;;;;;;;;;;x
EVTOPTApersonality.10;No elf should speak against his betters!;;;;;;;;;;;;;x
EVTOPTBpersonality.10;It's obvious that the servant is right.;;;;;;;;;;;;;x
EVTDESCpersonality.11;It seems I myself am not sure on my stance on non-humans. I should decide it once on for all.;;;;;;;;;;;;;x
EVTOPTApersonality.11;They are my equals.;;;;;;;;;;;;;x
EVTOPTBpersonality.11;They are lessser beings.;;;;;;;;;;;;;x
EVTDESCpersonality.12;I have been around human too much lately, they must have poisoned my mind, - I have seen my own kind with human like prejudices.;;;;;;;;;;;;;x
EVTOPTApersonality.12;What have I been doing.;;;;;;;;;;;;;x
EVTDESCpersonality.13;[Root.job_spiritual.GetTitledFirstName] has been complaining to me that my leniency toward non-humans goes against the teachings of the Eternal Fire.;;;;;;;;;;;;;x
EVTOPTApersonality.13;I will correct myself.;;;;;;;;;;;;;x
EVTDESCpersonality.14;I have been contemplating the teaching of Eternal Fire and have reached a truth non-humans are blight upon this world.;;;;;;;;;;;;;x
EVTOPTApersonality.14;Indeed.;;;;;;;;;;;;;x

