#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCpilgrim.1;You have decided to go on a pilgrimage to seek [Root.Religion.GetRandomGodName]'s grace at one of His holy places. There are several different places that you could visit on your pilgrimage. All of them are considered most sacred, but a somewhat closer destination might mean a safer journey.;;;;;;;;;;;;;x
EVTOPTApilgrim.1;I will go to Novigrad, His final resting place.;;;;;;;;;;;;;x
EVTOPTBpilgrim.1;I will go to Ard Ghlais, the place where He died.;;;;;;;;;;;;;x
EVTOPTCpilgrim.1;I will go to Lan Exeter, the center of His teachings.;;;;;;;;;;;;;x
EVTOPTDpilgrim.1;Actually, I changed my mind, I won't go anywhere.;;;;;;;;;;;;;x
EVTDESCpilgrim.10;My things are packed, everything is in order. At the end of my journey the great city of Novigrad awaits.;;;;;;;;;;;;;x
EVTNAMEpilgrim.11;Novigrad;;;;;;;;;;;;;x
EVTDESCpilgrim.11;You have finally arrived at the great city of Novigrad! The Novigrad, one of the largest cities of the world, lies on the mighty river Pontar, and busy commerce mingles with the flow of pilgrims. The [Root.Religion.GetRandomGodName]'s remains rest in temple of Barwice, recovered from the feces of dragon that devoured Him. The temple that guard the remains is not an impressive structure, nonetheless thousands of followers of [Root.Religion.GetRandomGodName] visit it every year.;;;;;;;;;;;;;x
EVTOPTApilgrim.11;A great city indeed!;;;;;;;;;;;;;x
EVTDESCpilgrim.12;My things are packed, everything is in order. Soon, I shall see the place where [Root.Religion.GetRandomGodName] left this world at the hands of dragon.;;;;;;;;;;;;;x
EVTNAMEpilgrim.13;Ard Ghlais;;;;;;;;;;;;;x
EVTDESCpilgrim.13;You have finally arrived at Ard Ghlais! It unimportant place in middle of nowhere, even it's lords consider it unimportant, yet for the followers of [Root.Religion.GetRandomGodName] it is one of their most sacred places. Here Saint Lebioda was eaten by a green dragon, here His followers labored for days and nights until they recovered His remains, every last bone, from the feces of the dragon. But there is only small shine to mark these important events.;;;;;;;;;;;;;x
EVTOPTApilgrim.13;He died to soon!;;;;;;;;;;;;;x
EVTDESCpilgrim.14;My things are packed, everything is in order. Soon I will stand at the center of [Root.Religion.GetRandomGodName] worship.;;;;;;;;;;;;;x
EVTNAMEpilgrim.15;Lan Exeter;;;;;;;;;;;;;x
