#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCprovince.1;A Vampire Clan has taken root in §Y[Root.GetName]§! leading to severe unrest amongst the local populace.;;;;;;;;;;;;;x
EVTOPTAprovince.1;Damn!;;;;;;;;;;;;;x
EVTDESCprovince.2;A pack of werewolves have entered §Y[Root.GetName]§!, they terrorise the local populace each night leading to unrest and disruption of the local economy.;;;;;;;;;;;;;x
EVTDESCprovince.3;A large number of Kikimoras settled in the swamps near §Y[Root.GetName]§!.;;;;;;;;;;;;;x
EVTDESCprovince.4;Hellhounds are haunting the countryside near §Y[Root.GetName]§!.;;;;;;;;;;;;;x
EVTDESCprovince.5;A large number of Rotfiends appeared near §Y[Root.GetName]§!.;;;;;;;;;;;;;x
EVTDESCprovince.6;Drowners have infected the lakes and rivers near §Y[Root.GetName]§!.;;;;;;;;;;;;;x
EVTDESCprovince.7;A large number of Nekkers appeared in the caves near §Y[Root.GetName]§!.;;;;;;;;;;;;;x
EVTDESCprovince.10;The Rain is continuing in [Root.GetName] and we haven't seen a blue sky for weeks. We need sufficient rain for our fields, but excessive rain will cause a bad crop in coming autumn.;;;;;;;;;;;;;x
EVTOPTAprovince.10;We pray [Root.Religion.GetRandomGodName] against rain.;;;;;;;;;;;;;x
EVTDESCprovince.11;The weather in [Root.GetName] is extremely cold in this year. A cool summer is welcome, however poor people are dying at cold and peasants begin to worry about their crops in autumn.;;;;;;;;;;;;;x
EVTOPTAprovince.11;[Root.Religion.GetRandomGodName], please help us!;;;;;;;;;;;;;x
EVTDESCprovince.12;Because of bad weathers or [Root.Religion.GetRandomEvilGodName] work, the crops in [Root.GetName] is terrible in this year. We have to prepare the coming food shortage.;;;;;;;;;;;;;x
EVTOPTAprovince.12;Let's hope that we can survive this winter.;;;;;;;;;;;;;x
EVTDESCprovince.13;Thanks for the protection of [Root.Religion.GetRandomGodName], we have good crops in [Root.GetName]. We can hold a great harvest feast in this year!;;;;;;;;;;;;;x
EVTOPTAprovince.13;We have no worry about this winter.;;;;;;;;;;;;;x
EVTDESCprovince.14;The bad crops brought a serious famine in [Root.GetName]! There is nothing to eat and the peasants sell their family as slave. They might be still happier than the people who have been dead at hungry.;;;;;;;;;;;;;x
EVTOPTAprovince.14;Buy foods and help poor peasants and citizens!;;;;;;;;;;;;;x
EVTOPTBprovince.14;Let them eat cake!;;;;;;;;;;;;;x
