#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCscoiatael.1;An agent of Scoia'tael has managed to get in contact with you. He asks you to support the Scoia'tael to free the non-humans under the oppressive rule of human lordlings.;;;;;;;;;;;;;x
EVTOPTAscoiatael.1;I can support them in secret.;;;;;;;;;;;;;x
EVTOPTBscoiatael.1;No, I won't risk it.;;;;;;;;;;;;;x
EVTDESCscoiatael.10;There have been reports from [Root.GetName] about presence of Scoia'tael.;;;;;;;;;;;;;x
EVTOPTAscoiatael.10;Damn!;;;;;;;;;;;;;x
EVTOPTBscoiatael.10;Damn freaks! They all should be executed.;;;;;;;;;;;;;x
EVTDESCscoiatael.11;The Scoia'tael presence in the realm have been left unchecked for too long, they have managed to spread their operations to [Root.GetName].;;;;;;;;;;;;;x
EVTOPTAscoiatael.11;Damn!;;;;;;;;;;;;;x
EVTOPTBscoiatael.11;Damn freaks! They all should be executed.;;;;;;;;;;;;;x
EVTDESCscoiatael.12;There have been disconcerting news from [Root.GetName] - not only are there Scoia'tael in the area, but also local populace are secretly supporting them with weapons and provisions.;;;;;;;;;;;;;x
EVTOPTAscoiatael.12;Damn!;;;;;;;;;;;;;x
EVTOPTBscoiatael.12;Damn traitors! They should be executed together with non-human scum.;;;;;;;;;;;;;x
EVTDESCscoiatael.101;To the honorable [Root.GetTitledFirstName]. We humbly ask that you accept our oath of fealty as our new liege.\n\n[FromFrom.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTAscoiatael.101;Of course I accept.;;;;;;;;;;;;;x
EVTOPTBscoiatael.101;No, I don't want to be associated with Scoia'tael.;;;;;;;;;;;;;x
