#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCtolerant.1;A dwarf warrior has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.1;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.2;A dwarf steward has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.2;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.3;An elf spy has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.3;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.4;An elf lass has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.4;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.5;A halfling steward has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.5;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.6;A halfling diplomat has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.6;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.7;A gnomish spy has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.7;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.8;A gnomish thinker has arrived at your court.;;;;;;;;;;;;;x
EVTOPTAtolerant.8;Ok.;;;;;;;;;;;;;x
EVTDESCtolerant.10;It seems that my kindness toward dwarf folk has come to the attention to a dwarf within the realm. We met and shared a few drinks and had a great time.;;;;;;;;;;;;;x
EVTOPTAtolerant.10;I have made a friend!;;;;;;;;;;;;;x
EVTDESCtolerant.11;It seems that my respect toward the old elven culture has come to the attention to an elf within the realm. We met and had the most enlightening discussion.;;;;;;;;;;;;;x
EVTOPTAtolerant.11;I have made a friend!;;;;;;;;;;;;;x
EVTDESCtolerant.12;It seems that my fondness toward the halfling way of life has come to the attention to a halfling within the realm. We met and had the most delicious of feasts.;;;;;;;;;;;;;x
EVTOPTAtolerant.12;I have made a friend!;;;;;;;;;;;;;x
EVTDESCtolerant.13;It seems that my courtesy and respect towards the gnomes of my realm have come to the attention of a certain gnome. We met and played a game of dice, discussing various inventions the gnome brought along.;;;;;;;;;;;;;x
EVTOPTAtolerant.13;I have made a friend!;;;;;;;;;;;;;x
