#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCtrait_flavour.1;I am extremely lazy, and I never want to do anything. Today, I don’t feel like attending to my official duties.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.1;A nap sounds good.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.1;I think I’ll go eat some tasty food.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.1;The work I’ve already done is good enough, anyways.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.1;I’m just scared of interacting with others to be honest.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.2;I apparently fell asleep while working hard last night. Perhaps I am overworking myself too hard.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.2;Maybe I should take a break…;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.2;No! I am not working hard enough!;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.2;I will pray to [Root.Religion.GetRandomGodName] for strength.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.2;This is nothing, I feel as strong as ever!;;;;;;;;;;;;;x
EVTDESCtrait_flavour.3;While looking for cheap merchandise at the summer fair, you notice a large coin purse lying on the ground. Nobody seemed to notice it, and its owner didn’t seem to be around. You are very much tempted to take it…;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.3;Yes! Free money! All mine, all mine!;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.3;I should find the purse’s owner and give it back.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.3;I’m too lazy to take it.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.3;In the name of justice, I can’t steal this.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.4;While browsing merchandise at the summer fair, you come across a young, sweet beggar girl. Her plight moves your heart, and you wish to help her in whatever way you can.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.4;Give the lass my entire purse.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.4;Bring the girl to a local abbey, where the nuns will take care of her.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.4;Bring her some of the food from yesterday’s feast immediately!;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.4;Hire her as a serving girl. She'll be better off this way.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.5;Although I am suffering greatly from an ailment, I don’t really mind it one bit. Strange as some may think of this, I am absolutely content with my current situation.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.5;I’ll be happy, whatever comes my way.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.5;This is will of [Root.Religion.GetRandomGodName], after all!;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.5;Bah, this affliction is nothing.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.5;Everyone suffers, eventually. Why feel anxious about it?;;;;;;;;;;;;;x
EVTDESCtrait_flavour.6;I want to improve my image as a [Root.GetTitle]. If everyone knows me as a great ruler, it will be much easier for me to achieve my ambitions. Thus, I want to be known as a great ruler because of…;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.6;My glory and honor.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.6;My good and benevolent rule.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.6;My piety.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.6;The fear I strike into the hearts of my subjects and enemies.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.7;A silence enveloped the room when I judged the felon to death. It was a sentence I handed out on a whim, even if it was perhaps a bit harsh.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.7;He… he did deserve it, right?;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.7;I’ll… I’ll just remain silent like everyone.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.8;Throughout the land, the peasants are singing songs in praise of your just rule. Your capable leadership has made the realm a prosperous and affluent place.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.8;Good.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.8;Justice is blind!;;;;;;;;;;;;;x
EVTDESCtrait_flavour.9;Because of your notorious rage, no one in your court dares to criticize you for anything.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.9;I rule my realm as I please.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.9;A good ruler listens to others. Maybe I should control myself.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.9;But… I want people to trust and love me.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.9;In fact, my enemies fear me too!;;;;;;;;;;;;;x
EVTDESCtrait_flavour.10;Being a very patient person, I always try to hear others’ opinions before making a decision, because…;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.10;Every opinion is flawed. Might as well hear them all.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.10;Everyone deserves to be heard.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.10;I am such a great [Root.GetTitle].;;;;;;;;;;;;;x
EVTDESCtrait_flavour.11;I’ve started noticing that everyone is better than me. This isn’t fair! I want to be as good as everyone else – no, even better than everyone, rather. Why am I not the best in everything?;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.11;I am worthless.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.11;I don’t try hard enough.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.11;No one cares about me, that’s why.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.11;Maybe I shouldn’t worry about this.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.12;An impoverished knight had recently died, leaving behind an orphaned child. I really feel pity for the unfortunate youth, who has no family left. I’ll try to find the child a good place to live in.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.12;Send the child to live with one of my trusted knights.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.12;Bring the child to a monastery.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.12;Invite the child to my court.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.13;You’ve made a fool of myself while sparring, acting like a full coward in front of the other men.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.13;I can’t help it!;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.13;I mustn’t embarrass myself like this!;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.13;It’s actually a tactical trick. IT'S A TRAP!;;;;;;;;;;;;;x
EVTDESCtrait_flavour.14;Today while travelling in the countryside, a bandit or thug of some sort tried to ambush me, but I defeated the fool with my bare hands. He’s now sitting in my dungeon, awaiting punishment. Meanwhile, my court is praising me for my bravery.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.14;Anyone could have done that.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.14;All fear me!;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.14;Spare the man and release him.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.14;I will torture him personally…;;;;;;;;;;;;;x
EVTDESCtrait_flavour.15;I am no better than anyone. I can always learn something from everyone – even the lowliest beggar or the most foolish imbecile have something to tell me. Today, while surveying a nearby town, one of the peasants taught me a profound lesson.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.15;Humility is the only way to better understand the world, after all.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.16;An ugly wench is throwing herself at you.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.16;I don’t care who, I’ll bed any young woman!;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.16;Maybe I should have standards after all…;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.16;I can’t see her ugliness anyways.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.16;When the lights are blown out, all women are beautiful.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.17;One of my new servants happens to be a pretty, innocent young maid, and I can’t get her off my mind. Some of the other men tell me that since I’m a strapping young man, I should accept my natural impulses, but I disagree – I’ve always tried to make sure I kept a pure mind, and I won’t yield, even now.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.17;She may be pretty, but it would be a sin to defile her.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.17;God will provide me strength against temptation!;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.17;I can’t see her, anyways, so how can I admire her?;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.17;I don’t like women, anyways.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.18;Some people say that my temperance prevents me from properly enjoying life, and I should stop being so prudish.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.18;Such people are merely fools.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.18;Maybe they have a point.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.18;I don’t enjoy life? Why, I enjoy life all the time!;;;;;;;;;;;;;x
EVTDESCtrait_flavour.19;I thought I just saw an assassin lurking behind the trees over there. A weird, dark shape, behind those leaves… is that a dagger? It must be a dagger!;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.19;Wait… I’m just seeing things… I think…;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.19;Judging from the angle of the light, it’s just a distortion of my shadow.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.19;RUN AWAY!;;;;;;;;;;;;;x
EVTDESCtrait_flavour.20;I’m such a gullible fool. One of my courtiers managed to play a prank on me today!;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.20;I have to stop being so gullible.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.20;I don’t mind at all.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.20;Punish the miscreant with lashes!;;;;;;;;;;;;;x
EVTDESCtrait_flavour.21;Over the years, I’ve learned to never show anyone my true self. I always have to deceive them, and manipulate them, and while I don’t know whether it’s the right thing to do, it’s a necessity.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.21;It’s a danger when people know too much about you.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.21;They wouldn’t understand me.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.21;They’d think I’m crazy.;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.21;Nobody would want hear the voices in my head.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.22;While shopping at the summer fair, you realize that one of the merchants isn’t selling a lot of merchandise. After observing him for a while, you realize he is absolutely terrible at advertising his wares, and in your blunt honesty you criticize him for this.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.22;Better improve at this, or you’ll end up a peasant.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.22;I’ll buy your products for you.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.22;I have some suggestions on how to better advertise your goods…;;;;;;;;;;;;;x
EVTDESCtrait_flavour.23;Some call me a tyrant, others a monster. But all my subjects fear me, and I think that’s a good thing.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.23;Blood for the bloody throne.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.23;It is necessary to rule effectively, unfortunately.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.23;I may be tyrannical, but I am fair.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.50;Pleasure is all I'm looking for in life.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.50;Oh, pleasure!;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.50;It gets boring after a while.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.51;All this loving and romancing will kill me.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.51;It's time to settle down!;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.51;I can still enjoy pleasures of life.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.52;I don't find the pleasures of life rewarding any longer.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.52;Celibacy is the way.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.52;I shall give them another try.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.100;A dwarf clapped in irons is brought before you in court by two guards. He was involved in a brawl in tavern where he killed a man, of course such matter would be too unimportant for [Root.GetTitle], if not for presance of a noble's son who dwarf claims is the real murderer.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.100;There are civil courts for such matters.;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.100;The dwarf is guilty. No one will care if he is executed.;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.100;Of course the dwarf is guilty. Make him suffer!;;;;;;;;;;;;;x
EVTOPTDtrait_flavour.100;What does it matter if someone died, I can't be bothered now.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.200;One of my books about alchemy contains interesting recipe that can increase my capabilities in bed. Of course I'm not interested in the potion itself, but process for making it is so fascinating I could just try making it.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.200;Very interesting, indeed.;;;;;;;;;;;;;x
alchemist_fertility_potion;Make a potion to increse fertility;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.200;I'm busy with other things.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.201;I finally finished fertility potions. Now to try it out... just to make sure it works, it was complicated to make after all - triple destilling Absenta extract and refluxing Damiana solution.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.201;Let's hope it won't taste too terrible.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.202;I finally finished fertility potions. It was complicated to make - triple destilling Absenta extract and refluxing Belladonna solution... wasn't it quite deaadly?;;;;;;;;;;;;x
EVTOPTAtrait_flavour.202;Better not.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.210;I haven't been feeling too good lately, but I have just the recipe for it. I just need to get my hands on some drowner tongues, I think I had some in stock.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.210;I'll go find them right now.;;;;;;;;;;;;;x
alchemist_health_potion;Make a potion to increse health;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.210;It will take forever to find them, it's no worth it.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.211;The potion to improve my health worked great, I do feel better.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.211;Perfect.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.212;The potion to improve my health didn't work. I think drowner tongues were at fault, they were dried, but accordnig to recipe I needed fresh.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.212;At least it didn't do any harm.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.213;The potion to improve my health didn't work, I feel even weaker. I think drowner tongues were at fault, they must have been spoiled.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.213;For future reference - I should keep my storeroom in order.;;;;;;;;;;;;;x
EVTDESCtrait_flavour.220;My ingredient stocks are running low. I have almost no monster reagents left, also most minerals have been used up too. I should refresh them soon.;;;;;;;;;;;;;x
EVTOPTAtrait_flavour.220;I should visit market.;;;;;;;;;;;;;x
EVTTOOLTIPtrait_flavour.221;Visit market to buy ingredients;;;;;;;;;;;;;x
EVTOPTBtrait_flavour.220;To the forest!;;;;;;;;;;;;;x
EVTTOOLTIPtrait_flavour.222;Visit forest to gather ingredients;;;;;;;;;;;;;x
EVTOPTCtrait_flavour.220;Maybe it's time to end my alchemical pursuits.;;;;;;;;;;;;;x
