# CONGENITAL
tall;Tall;Tall;Tall;;Tall;;;;;;;;;x
tall_desc;This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.;; This character is of considerable stature, taller than most.;;;;;;;;;x
agile;Agile;Agile;Agile;;Agile;;;;;;;;;x
agile_desc;This character is nimbler and quicker than most.;This character is nimbler and quicker than most.;This character is nimbler and quicker than most.;;This character is nimbler and quicker than most.;;;;;;;;;x
perceptive;Perceptive;Perceptive;Perceptive;;Perceptive;;;;;;;;;x
perceptive_desc;This character is sharp, possessing excellent senses and intuition.;This character is sharp, possessing excellent senses and intuition.;This character is sharp, possessing excellent senses and intuition.;;This character is sharp, possessing excellent senses and intuition.;;;;;;;;;x
melodious_voice;Melodious Voice;Melodious Voice;Melodious Voice;;Melodious Voice;;;;;;;;;x
melodious_voice_desc;This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.; This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.; This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.;; This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.;;;;;;;;;x
powerful_voice;Powerful Voice;Powerful Voice;Powerful Voice;;Powerful Voice;;;;;;;;;x
powerful_voice_desc;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.; This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.; This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;; This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;;;;;;;;;x
ambidextrous;Ambidextrous;Ambidextrous;Ambidextrous;;Ambidextrous;;;;;;;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;;;;;;;;;;;;;x
absentminded;Absent-Minded;Absent-Minded;Absent-Minded;;Absent-Minded;;;;;;;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;;;;;;;;;;;;;x
# DUEL ENGINE
poor_warrior;Poor Fighter;Mauvais combattant;Poor Fighter;;Poor Fighter;;;;;;;;;x
poor_warrior_desc;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;Ce personnage comprend les bases du combat, mais il est négligent, présomptueux et inexpérimenté.;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced;;;;;;;;;x
trained_warrior;Trained Fighter;Combattant entraîné;Trained Fighter;;Trained Fighter;;;;;;;;;x
trained_warrior_desc;This character has received training in the art of combat. While no master, they can hold their own in a fight.;Ce personnage a suivit un entrainement dans l'art de la guerre. S'il n'est pas un maître, il peut se débrouiller dans un combat.;This character has received training in the art of combat. While no master, they can hold their own in a fight.;;This character has received training in the art of combat. While no master, they can hold their own in a fight;;;;;;;;;x
skilled_warrior;Skilled Fighter;Combattant talentueux;Skilled Fighter;;Skilled Fighter;;;;;;;;;x
skilled_warrior_desc;This character possesses a certain talent for battle and swordplay.;Ce personnage possède un certain talent pour les batailles et les duels à l'épée.;This character possesses a certain talent for battle and swordplay.;;This character possesses a certain talent for battle and swordplay;;;;;;;;;x
master_warrior;Formidable Fighter;Combattant formidable;Formidable Fighter;;Formidable Fighter;;;;;;;;;x
master_warrior_desc;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield.;Ce personnage est l'une des plus fines lames de le monde, il est favorisé par Dieu et redouté sur le champs de bataille. ;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield.;;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield;;;;;;;;;x
# EDUCATION
scatterbrain;Scatterbrain;;;;;;;;;;;;;x
scatterbrain_desc;The Scatterbrain is unable to pay attention to one thing for more than a few moments.;;;;;;;;;;;;;x
jack_of_all_trades;Jack of All Trades;;;;;;;;;;;;;x
jack_of_all_trades_desc;The Jack of All Trades as the saying goes, is master of none.;;;;;;;;;;;;;x
polymath;Polymath;;;;;;;;;;;;;x
polymath_desc;The Polymath is well versed in all fields of study, yet often overshadow by those with more specialised education.;;;;;;;;;;;;;x
the_sage;The Sage;;;;;;;;;;;;;x
the_sage_desc;The Sage is a trove full of knowledge that few can match, efficiently able to fill any council position.;;;;;;;;;;;;;x
# LIFESTYLE
alchemist;Alchemist;;;;;;;;;;;;;x
alchemist_desc;This character is a skilled alchemist pursuing the many mysteries of his trade.;;;;;;;;;;;;;x
# PERSONALITY
racist;Racist;;;;;;;;;;;;;x
racist_desc;This character views humans as the superior race.;;;;;;;;;;;;;x
tolerant;Tolerant;;;;;;;;;;;;;x
tolerant_desc;This character views all races as equal.;;;;;;;;;;;;;x
# SPECIAL - PROFESION
