#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aberaeron;Aberaeron;Aberaeron;Aberaeron;;;;;;;;;;;x
c_aberaeron_adj;Aberaeronian;;aberaeronisch;;;;;;;;;;;x
c_aberystwyth;Aberystwyth;Aberystwyth;Aberystwyth;;;;;;;;;;;x
c_aberystwyth_adj;Aberystwythian;;aberystwythisch;;;;;;;;;;;x
c_acorn_bay;Acorn Bay;Acorn Bay;Acorn Bay;;;;;;;;;;;x
c_acorn_bay_adj;Acorn Baian;;acorn baisch;;;;;;;;;;;x
c_aedd_gynvael;Aedd Gynvael;Aedd Gynvael;Aedd Gynvael;;;;;;;;;;;x
c_aedd_gynvael_adj;Aedd Gynvaelian;;aedd gynvaelisch;;;;;;;;;;;x
c_aethelinga;Æþelinga;Æþelinga;Æþelinga;;;;;;;;;;;x
c_aethelinga_adj;Æþelingian;;æþelingisch;;;;;;;;;;;x
c_aftenduth;Aftenduth;Aftenduth;Aftenduth;;;;;;;;;;;x
c_aftenduth_adj;Aftenduthian;;aftenduthisch;;;;;;;;;;;x
c_ainceaster;Ainceaster;Ainceaster;Ainceaster;;;;;;;;;;;x
c_ainceaster_adj;Ainceasterian;;ainceasterisch;;;;;;;;;;;x
c_alba;Alba;Alba;Alba;;;;;;;;;;;x
c_alba_adj;Albian;;albisch;;;;;;;;;;;x
c_albiga;Albiga;Albiga;Albiga;;;;;;;;;;;x
c_albiga_adj;Albigian;;albigisch;;;;;;;;;;;x
c_aldersberg;Aldersberg;Aldersberg;Aldersberg;;;;;;;;;;;x
c_aldersberg_adj;Aldersbergian;;aldersbergisch;;;;;;;;;;;x
c_alenas;Alenas;Alenas;Alenas;;;;;;;;;;;x
c_alenas_adj;Alenasian;;alenasisch;;;;;;;;;;;x
c_amarillo;Amarillo;Amarillo;Amarillo;;;;;;;;;;;x
c_amarillo_adj;Amarillian;;amarillisch;;;;;;;;;;;x
c_ammurianum;Ammurianum;Ammurianum;Ammurianum;;;;;;;;;;;x
c_ammurianum_adj;Ammurianumian;;ammurianumisch;;;;;;;;;;;x
c_an_skellig;An Skellig;An Skellig;An Skellig;;;;;;;;;;;x
c_an_skellig_adj;An Skelligian;;an skelligisch;;;;;;;;;;;x
c_anchor;Anchor;Anchor;Anchor;;;;;;;;;;;x
c_anchor_adj;Anchorian;;anchorisch;;;;;;;;;;;x
c_ansegis;Ansegis;Ansegis;Ansegis;;;;;;;;;;;x
c_ansegis_adj;Ansegisian;;ansegisisch;;;;;;;;;;;x
c_aparhant;Aparhant;Aparhant;Aparhant;;;;;;;;;;;x
c_aparhant_adj;Aparhantian;;aparhantisch;;;;;;;;;;;x
c_arc_sea;Arc Sea;Arc Sea;Arc Sea;;;;;;;;;;;x
c_arc_sea_adj;Arc Sian;;arc sisch;;;;;;;;;;;x
c_ard_carraigh;Ard Carraigh;Ard Carraigh;Ard Carraigh;;;;;;;;;;;x
c_ard_carraigh_adj;Ard Carraighian;;ard carraighisch;;;;;;;;;;;x
c_ard_ghlais;Ard Ghlais;Ard Ghlais;Ard Ghlais;;;;;;;;;;;x
c_ard_ghlais_adj;Ard Ghlaisian;;ard ghlaisisch;;;;;;;;;;;x
c_ard_skellig;Ard Skellig;Ard Skellig;Ard Skellig;;;;;;;;;;;x
c_ard_skellig_adj;Ard Skelligian;;ard skelligisch;;;;;;;;;;;x
c_ardfinnan;Ardfinnan;Ardfinnan;Ardfinnan;;;;;;;;;;;x
c_ardfinnan_adj;Ardfinnanian;;ardfinnanisch;;;;;;;;;;;x
c_ardrahan;Ardrahan;Ardrahan;Ardrahan;;;;;;;;;;;x
c_ardrahan_adj;Ardrahanian;;ardrahanisch;;;;;;;;;;;x
c_arfon;Arfon;Arfon;Arfon;;;;;;;;;;;x
c_arfon_adj;Arfonian;;arfonisch;;;;;;;;;;;x
c_argoen;Argoen;Argoen;Argoen;;;;;;;;;;;x
c_argoen_adj;Argoenian;;argoenisch;;;;;;;;;;;x
c_arkaim;Arkaim;Arkaim;Arkaim;;;;;;;;;;;x
c_arkaim_adj;Arkaimian;;arkaimisch;;;;;;;;;;;x
c_armeria;Armeria;Armeria;Armeria;;;;;;;;;;;x
c_armeria_adj;Armerian;;armerisch;;;;;;;;;;;x
c_arndare;Arndare;Arndare;Arndare;;;;;;;;;;;x
c_arndare_adj;Arndarian;;arndarisch;;;;;;;;;;;x
c_arnkell;Arnkell;Arnkell;Arnkell;;;;;;;;;;;x
c_arnkell_adj;Arnkellian;;arnkellisch;;;;;;;;;;;x
c_arranar;Arranar;Arranar;Arranar;;;;;;;;;;;x
c_arranar_adj;Arranarian;;arranarisch;;;;;;;;;;;x
c_artiom;Artiom;Artiom;Artiom;;;;;;;;;;;x
c_artiom_adj;Artiomian;;artiomisch;;;;;;;;;;;x
c_arvamas;Arvamas;Arvamas;Arvamas;;;;;;;;;;;x
c_arvamas_adj;Arvamasian;;arvamasisch;;;;;;;;;;;x
c_arvy;Arvy;Arvy;Arvy;;;;;;;;;;;x
c_arvy_adj;Arvian;;arvisch;;;;;;;;;;;x
c_arys;Arys;Arys;Arys;;;;;;;;;;;x
c_arys_adj;Arysian;;arysisch;;;;;;;;;;;x
c_asheberg;Asheberg;Asheberg;Asheberg;;;;;;;;;;;x
c_asheberg_adj;Ashebergian;;ashebergisch;;;;;;;;;;;x
c_aspach;Aspach;Aspach;Aspach;;;;;;;;;;;x
c_aspach_adj;Aspachian;;aspachisch;;;;;;;;;;;x
c_assengard;Assengard;Assengard;Assengard;;;;;;;;;;;x
c_assengard_adj;Assengardian;;assengardisch;;;;;;;;;;;x
c_astunton;Astunton;Astunton;Astunton;;;;;;;;;;;x
c_astunton_adj;Astuntonian;;astuntonisch;;;;;;;;;;;x
c_athenry;Athenry;Athenry;Athenry;;;;;;;;;;;x
c_athenry_adj;Athenrian;;athenrisch;;;;;;;;;;;x
c_atostra;Atostra;Atostra;Atostra;;;;;;;;;;;x
c_atostra_adj;Atostrian;;atostrisch;;;;;;;;;;;x
c_attre;Attre;Attre;Attre;;;;;;;;;;;x
c_attre_adj;Attrian;;attrisch;;;;;;;;;;;x
c_audevert;Audevert;Audevert;Audevert;;;;;;;;;;;x
c_audevert_adj;Audevertian;;audevertisch;;;;;;;;;;;x
c_aymo;Aymo;Aymo;Aymo;;;;;;;;;;;x
c_aymo_adj;Aymian;;aymisch;;;;;;;;;;;x
c_bae_praxeda;Bae Praxeda;Bae Praxeda;Bae Praxeda;;;;;;;;;;;x
c_bae_praxeda_adj;Bae Praxedian;;bae praxedisch;;;;;;;;;;;x
c_bagillt;Bagillt;Bagillt;Bagillt;;;;;;;;;;;x
c_bagillt_adj;Bagilltian;;bagilltisch;;;;;;;;;;;x
c_baglend;Baglend;Baglend;Baglend;;;;;;;;;;;x
c_baglend_adj;Baglendian;;baglendisch;;;;;;;;;;;x
c_balagan;Balagan;Balagan;Balagan;;;;;;;;;;;x
c_balagan_adj;Balaganian;;balaganisch;;;;;;;;;;;x
c_ban_ard;Ban Ard;Ban Ard;Ban Ard;;;;;;;;;;;x
c_ban_ard_adj;Ban Ardian;;ban ardisch;;;;;;;;;;;x
c_ban_glean;Ban Glean;Ban Glean;Ban Glean;;;;;;;;;;;x
c_ban_glean_adj;Ban Gleanian;;ban gleanisch;;;;;;;;;;;x
c_banwen;Banwen;Banwen;Banwen;;;;;;;;;;;x
c_banwen_adj;Banwenian;;banwenisch;;;;;;;;;;;x
c_barga;Barga;Barga;Barga;;;;;;;;;;;x
c_barga_adj;Bargian;;bargisch;;;;;;;;;;;x
c_barienmurg;Barienmurg;Barienmurg;Barienmurg;;;;;;;;;;;x
c_barienmurg_adj;Barienmurgian;;barienmurgisch;;;;;;;;;;;x
c_basingas;Basingas;Basingas;Basingas;;;;;;;;;;;x
c_basingas_adj;Basingasian;;basingasisch;;;;;;;;;;;x
c_batavis;Batavis;Batavis;Batavis;;;;;;;;;;;x
c_batavis_adj;Batavisian;;batavisisch;;;;;;;;;;;x
c_bay_of_arnadare;Bay of Arnadare;Bay of Arnadare;Bay of Arnadare;;;;;;;;;;;x
