From;To;Type;Through;-1;-1;-1;-1;Comment

72;71;sea;408;-1;-1;-1;-1;Inis Porhoet-Tridam
72;68;sea;408;-1;-1;-1;-1;Inis Porhoet-Pont Vanis
16;25;sea;410;-1;-1;-1;-1;Thanedd-Gors Velen
145;143;sea;398;-1;-1;-1;-1;Faroe - Ard Skellig
144;143;sea;398;-1;-1;-1;-1;Spikeroog - Ard Skellig
147;143;sea;398;-1;-1;-1;-1;Hindar - Ard Skellig
146;143;sea;398;-1;-1;-1;-1;An Skellig - Ard Skellig
148;143;sea;398;-1;-1;-1;-1;Undvik - Ard Skellig
146;147;sea;398;-1;-1;-1;-1;An Skellig - Hindar
144;146;sea;398;-1;-1;-1;-1;Spikeroog - An Skellig
148;147;sea;398;-1;-1;-1;-1;Undvik - Hindar
64;26;sea;378;-1;-1;-1;-1;Novigrad - Acorn Bay

11;54;major_river;382;-1;-1;-1;-1;White Bridge-Foam
126;95;major_river;384;-1;-1;-1;-1;Vergen-Ban Glean

388;418;portage;41;-1;-1;-1;-1;Jaruga-Lake Riverdell

-1;-1;;-1;-1;-1;-1;-1;-1
