#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCduel.200;You strike, but [From.GetBestName] rolls to the side only slightly grazed. [From.GetSheHe] forces [From.GetHerHim]self back to [From.GetHerHis] feet and hold [From.GetHerHis] weapon ready.;;;;;;;;;;;;;x
EVTDESCduel.201;[From.GetBestName] strikes you from above, but you skillfully block [From.GetHerHis] strike and manage to graze [From.GetHerHim] while [From.GetSheHe] is off-balance.;;;;;;;;;;;;;x
EVTDESCduel.202;You strike [From.GetBestName] from above, [From.GetSheHe] tries to block your strike strike, but [From.GetSheHe] only slows it down and is still wounded.;;;;;;;;;;;;;x
EVTDESCduel.203;Your quick thrust manages to catch [From.GetBestName] by surprise, before [From.GetSheHe] can react [From.GetSheHe] is stabbed, but the injury isn't too deep.;;;;;;;;;;;;;x
EVTDESCduel.204;You and [From.GetBestName] strike each other at same time locking your sword together. You manage to overpower [From.GetHerHim], slashing [From.GetHerHim] deeply.;;;;;;;;;;;;;x
EVTDESCduel.205;[From.GetBestName] strike you, but before the hit connects you land a kick on [From.GetHerHim] followed by quick slash.;;;;;;;;;;;;;x
EVTDESCduel.206;You lunge at [From.GetBestName]. [From.GetSheHeCap] tries to dodge you thrust to side, but is too late.;;;;;;;;;;;;;x
EVTDESCduel.207;[From.GetBestName] lunge at you. You dodge [From.GetHerHis] thrust and strike [From.GetHerHim] from side wounding [From.GetHerHim].;;;;;;;;;;;;;x

EVTDESCduel.300;[FromFrom.GetBestName] strikes, but you roll to the side only slightly grazed. You force yourself back to your feet and hold your weapon ready.;;;;;;;;;;;;;x
EVTDESCduel.301;You strike [FromFrom.GetBestName] from above, but [FromFrom.GetSheHe] skillfully blocks your strike and manages to graze you while you are off-balance.;;;;;;;;;;;;;x
EVTDESCduel.302;[FromFrom.GetBestName] strikes you from above, you try to block [FromFrom.GetHerHis] strike, but you only slow it down and are still wounded.;;;;;;;;;;;;x
EVTDESCduel.303;[FromFrom.GetBestName] quick thrust manages to catch you by surprise, before you can react you are stabbed, but the injury isn't too deep.;;;;;;;;;;;;;x
EVTDESCduel.304;You and [FromFrom.GetBestName] strike each other at same time locking your sword together. [FromFrom.GetSheHe] manages to overpower you, slashing you deeply.;;;;;;;;;;;;;x
EVTDESCduel.305;You strike [FromFrom.GetBestName], but before the hit connects [FromFrom.GetSheHe] lands a kick on you followed by quick slash.;;;;;;;;;;;;;x
EVTDESCduel.306;[FromFrom.GetBestName] lunges at you. You try to dodge [FromFrom.GetHerHis] thrust to side, but are too late.;;;;;;;;;;;;;x
EVTDESCduel.307;You lunge at [FromFrom.GetBestName]. [FromFrom.GetSheHeCap] dodges you thrust and strikes you from side wounding you.;;;;;;;;;;;;;x

EVTDESCduel.400;You and [From.GetBestName] slowly circle each other. You scan [From.GetHerHim] for any sign of weakness, any opening in [From.GetHerHis] defense that you could exploit.;;;;;;;;;;;;;x
EVTDESCduel.401;You and [FromFrom.GetBestName] slowly circle each other. You scan [FromFrom.GetHerHim] for any sign of weakness, any opening in [FromFrom.GetHerHis] defense that you could exploit.;;;;;;;;;;;;;x
EVTDESCduel.402;You and [From.GetBestName] strike each other at same time locking your sword together. None of you can manage to overpower other.;;;;;;;;;;;;;x
EVTDESCduel.403;You and [FromFrom.GetBestName] strike each other at same time locking your sword together. None of you can manage to overpower other.;;;;;;;;;;;;;x
EVTDESCduel.404;You clash with [From.GetBestName] with enough force to send [From.GetHerHim] flying, but before you can use the situation to you advantage [From.GetSheHe] is already up on [From.GetHerHis] feet.;;;;;;;;;;;;;x
EVTDESCduel.405;You clash with [FromFrom.GetBestName] with enough force to send [FromFrom.GetHerHim] flying, but before you can use the situation to you advantage [FromFrom.GetSheHe] is already up on [FromFrom.GetHerHis] feet.;;;;;;;;;;;;;x
EVTDESCduel.406;You and [From.GetBestName] exchange series of blows, but neither of you can land a solid hit on other.;;;;;;;;;;;;;x
EVTDESCduel.407;You and [FromFrom.GetBestName] exchange series of blows, but neither of you can land a solid hit on other.;;;;;;;;;;;;;x
EVTDESCduel.408;You slash at [From.GetBestName] from side, but [From.GetSheHe] jumps backward just barely enough to avoid you sword.;;;;;;;;;;;;;x
EVTDESCduel.409;You slash at [FromFrom.GetBestName] from side, but [FromFrom.GetSheHe] jumps backward just barely enough to avoid you sword.;;;;;;;;;;;;;x

EVTDESCduel.500;You won;;;;;;;;;;;;;x
EVTDESCduel.600;You lost;;;;;;;;;;;;;x
EVTDESCduel.1000;Duel with..;;;;;;;;;;;;;x
EVTDESCduel.1001;Duel with..;;;;;;;;;;;;;x

EVTOPTAduel.1000;Random realm character;;;;;;;;;;;;;x
EVTOPTBduel.1000;Poor or trained realm character;;;;;;;;;;;;;x
EVTOPTCduel.1000;Skilled or master realm character;;;;;;;;;;;;;x
