#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aberaeron;Aberaeron;Aberaeron;Aberaeron;;Aberaeron;;;;;;;;;x
c_aberaeron_adj;Aberaeronian;;aberaeroner;;;;;;;;;;;x
c_abertawe;Abertawe;Abertawe;Abertawe;;Abertawe;;;;;;;;;x
c_abertawe_adj;Abertawean;;abertawer;;;;;;;;;;;x
c_aberystwyth;Aberystwyth;Aberystwyth;Aberystwyth;;Aberystwyth;;;;;;;;;x
c_aberystwyth_adj;Aberystwythian;;aberystwyther;;;;;;;;;;;x
c_acorn_bay;Acorn Bay;Acorn Bay;Acorn Bay;;Acorn Bay;;;;;;;;;x
c_acorn_bay_adj;Acorn Baian;;Acorn Baer;;;;;;;;;;;x
c_adampole;Adampole;Adampole;Adampole;;Adampole;;;;;;;;;x
c_adampole_adj;Adampolean;;adampoler;;;;;;;;;;;x
c_aedd_gynvael;Aedd Gynvael;Aedd Gynvael;Aedd Gynvael;;Aedd Gynvael;;;;;;;;;x
c_aedd_gynvael_adj;Aedd Gynvaelian;;Aedd Gynvaeler;;;;;;;;;;;x
c_afon_pellach;Afon Pellach;Afon Pellach;Afon Pellach;;Afon Pellach;;;;;;;;;x
c_afon_pellach_adj;Afon Pellachian;;Afon Pellacher;;;;;;;;;;;x
c_aftenduth;Aftenduth;Aftenduth;Aftenduth;;Aftenduth;;;;;;;;;x
c_aftenduth_adj;Aftenduthian;;aftenduther;;;;;;;;;;;x
c_ainceaster;Ainceaster;Ainceaster;Ainceaster;;Ainceaster;;;;;;;;;x
c_ainceaster_adj;Ainceasterian;;ainceasterer;;;;;;;;;;;x
c_airel;Airel;Airel;Airel;;Airel;;;;;;;;;x
c_airel_adj;Airelian;;aireler;;;;;;;;;;;x
c_albiga;Albiga;Albiga;Albiga;;Albiga;;;;;;;;;x
c_albiga_adj;Albigan;;albiger;;;;;;;;;;;x
c_aldersberg;Aldersberg;Aldersberg;Aldersberg;;Aldersberg;;;;;;;;;x
c_aldersberg_adj;Aldersbergian;;aldersberger;;;;;;;;;;;x
c_alenas;Alenas;Alenas;Alenas;;Alenas;;;;;;;;;x
c_alenas_adj;Alenasian;;alenaser;;;;;;;;;;;x
c_almandaye;Almandaye;Almandaye;Almandaye;;Almandaye;;;;;;;;;x
c_almandaye_adj;Almandayean;;almandaer;;;;;;;;;;;x
c_amarillo;Amarillo;Amarillo;Amarillo;;Amarillo;;;;;;;;;x
c_amarillo_adj;Amarillian;;amariller;;;;;;;;;;;x
c_amlwch;Amlwch;Amlwch;Amlwch;;Amlwch;;;;;;;;;x
c_amlwch_adj;Amlwchian;;amlwcher;;;;;;;;;;;x
c_ammurianum;Ammurianum;Ammurianum;Ammurianum;;Ammurianum;;;;;;;;;x
c_ammurianum_adj;Ammurianumian;;ammurianumer;;;;;;;;;;;x
