gallic;Gallic;Gallic;Gallic;;Gallic;;;;;;;;;x
north_african;North African;North African;North African;;North African;;;;;;;;;x
bulgar;Bulgar;Bulgare-volga;Wolgabulgaren;;Volga-Bolgar;;;;;;;;;x
berber;Berber;Berbère;Berber;;Bereber;;;;;;;;;x
nubian;Nubian;Nubien;Nubier;;Nubio;;;;;;;;;x
pashtun;Pashtun;Pachtoune;Paschtunen;;Pashtún;;;;;;;;;x
azeri;Azeri;Azéri;Aserischen;;Azeri;;;;;;;;;x
udmurt;Udmurt;Oudmourte;Udmurtischen;;Udmurt;;;;;;;;;x
tajik;Tajik;Tadjik;Tadschiken;;Tayiko;;;;;;;;;x
sicilian;Sicilian;Sicilien;Sizilianer;;Siciliano;;;;;;;;;x
siculo_arabic;Siculo-Arabic;Sicilienne-arabe;Sizilianisch-arabischen;;Siciliano-Árabe;;;;;;;;;x
griko;Griko;Griko;Griko;;Griko;;;;;;;;;x
somali;Somali;Somali;Somali;;Somalí;;;;;;;;;x
mossi;Mossi;Mossi;Mossi;;Mossi;;;;;;;;;x
tatar;Crimean Tatar;Crimean Tatar;Crimean Tatar;;Crimean Tatar;;;;;;;;;x
sudanese_arabic;Sudanese;Sudanese;Sudanese;;Sudanese;;;;;;;;;x
chagatai;Chagatai;Chagatai;Chagatai;;Chagatai;;;;;;;;;x
swahili;Swahili;Swahili;Swahili;;Swahili;;;;;;;;;x
indian;Indian;Indian;Indian;;Indian;;;;;;;;;x
gujarati;Gujarati;Gujarati;Gujarati;;Gujarati;;;;;;;;;x
icelandic;Icelandic;;;;;;;;;;;;;x
tamil;Tamil;;;;;;;;;;;;;x
sindhi;Sindhi;;;;;;;;;;;;;x
sinic;East Asian;;;;;;;;;;;;;x
chinese;Chinese;;;;;;;;;;;;;x
japanese;Japanese;;;;;;;;;;;;;x
korean;Korean;;;;;;;;;;;;;x
vietnamese;Vietnamese;;;;;;;;;;;;;x
bactrian;Bactrian;;;;;;;;;;;;;x
sogdian;Sogdian;;;;;;;;;;;;;x
serer;Serer;;;;;;;;;;;;;x
crimean_jewish;Crimean Jewish;;;;;;;;;;;;;x
pictish;Pictish;;;;;;;;;;;;;x
uighur;Uighur;;;;;;;;;;;;;x
songhai;Songhai;;;;;;;;;;;;;x
cumbrian;Cumbrian;;;;;;;;;;;;;x
khitan;Khitan;;;;;;;;;;;;;x
norsegael;Norse-Gael;;;;;;;;;;;;;x
#ETC;;;;;;;;;;;;;;x
baron_andalusian_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
baron_female_andalusian_arabic;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
barony_of_andalusian_arabic;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x
count_andalusian_arabic;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x
