PROV936;Guinea;Guinea;Guinea;;Guinea;;;;;;;;;x
PROV937;Kaabu;Kaabu;Kaabu;;Kaabu;;;;;;;;;x
PROV938;Gambia;Gambia;Gambia;;Gambia;;;;;;;;;x
PROV939;Senegal;Senegal;Senegal;;Senegal;;;;;;;;;x
PROV940;Chemama;Chemama;Chemama;;Chemama;;;;;;;;;x
PROV941;Air;Air;Air;;Air;;;;;;;;;x
PROV1119;Cyclades;Cyclades;Kykladen;;Cícladas;;;;;;;;;x
PROV1120;Sea of Crete;Mer de Crète;See von Kreta;;Mar de Creta;;;;;;;;;x
PROV1121;Coast of Egypt;Côte d'Égypte;Ägyptische Küste;;Costa de Egipto;;;;;;;;;x
PROV1122;Nile Delta;Delta du Nil;Nildelta;;Delta del Nilo;;;;;;;;;x
PROV1123;Sea of Palestine;Mer de Palestine;Palästinische See;;Mar de Palestina;;;;;;;;;x
PROV1124;Eastern Mediterranean;Méditerranée Orientale;Östliches Mittelmeer;;Mediterráneo del Este;;;;;;;;;x
