#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCartifact.2;[From.GetTitledName] have died leaving you, [From.GetHerHis] [GetFromRelation], [From.GetHerHis] most prized possessions.;;;;;;;;;;;;;x
EVTOPTAartifact.2;[From.GetSheHe] left this world too soon.;;;;;;;;;;;;;x
EVTDESCartifact.100;[From.GetTitledFirstName] have some possessions that doesn't befit [From.GetHerHis] positions as a prisoner, [From.GetSheHe] should be relieved of them.;;;;;;;;;;;;;x
EVTOPTAartifact.100;What do we have here?;;;;;;;;;;;;;x
EVTTOOLTIPartifact.101;[Root.GetTitledName] already owns a Gwyhyr sword;;;;;;;;;;;;;x
EVTTOOLTIPartifact.102;[Root.GetTitledName] already owns a Nehalenia's Mirror;;;;;;;;;;;;;x
EVTTOOLTIPartifact.103;[Root.GetTitledName] already owns a Purple Living Bone;;;;;;;;;;;;;x
EVTTOOLTIPartifact.104;[Root.GetTitledName] owns a Purple Living Bone;;;;;;;;;;;;;x
EVTTOOLTIPartifact.105;[Root.GetTitledName] already owns a Conynhaela;;;;;;;;;;;;;x
EVTTOOLTIPartifact.106;[Root.GetTitledName] owns a Conynhaela;;;;;;;;;;;;;x
EVTTOOLTIPartifact.107;[Root.GetTitledName] already owns Purple Living Bone and Conynhaela;;;;;;;;;;;;;x
EVTOPTBartifact.100;On second thought [From.GetSheHe] can keep them.;;;;;;;;;;;;;x
EVTDESCartifact.101;One of the [FromFrom.GetTitledFirstName] possessions was a Gwyhyr sword, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.101;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.101;I will give it some relative.;;;;;;;;;;;;;x
EVTOPTCartifact.101;Maybe [Root.job_marshal.GetTitledName] will be able to put it to use.;;;;;;;;;;;;;x
EVTDESCartifact.102;One of the [FromFrom.GetTitledFirstName] possessions was a Nehalenia's Mirror, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.102;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.102;I will give it some relative.;;;;;;;;;;;;;x
EVTOPTCartifact.102;It will make a fine gift for [Root.Spouse.GetFirstName].;;;;;;;;;;;;;x
EVTDESCartifact.103;One of the [FromFrom.GetTitledFirstName] possessions was a Purple Living Bone, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.103;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.103;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.104;One of the [FromFrom.GetTitledFirstName] possessions was Purple Living Bone and Conynhaela, but I already own Purple Living Bone myself. Since I don't need it anymore, what to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.104;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.104;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.105;One of the [FromFrom.GetTitledFirstName] possessions was a Conynhaela, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.105;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.105;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.106;One of the [FromFrom.GetTitledFirstName] possessions was Purple Living Bone and Conynhaela, but I already own Conynhaela myself. Since I don't need it anymore, what to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.106;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.106;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.107;One of the [FromFrom.GetTitledFirstName] possessions was Purple Living Bone and Conynhaela, but I already own one myself. What to do with it?;;;;;;;;;;;;;x
EVTOPTAartifact.107;It will fetch a good price.;;;;;;;;;;;;;x
EVTOPTBartifact.107;I will give it some relative.;;;;;;;;;;;;;x
EVTDESCartifact.1001;[From.GetTitledName], a courtier of yours, is in possession of a Gwyhyr sword. Having decide that you are more worthy to own such a splendid sword [From.GetSheHe] offered to sell it to you for a small compenesation.;;;;;;;;;;;;;x
EVTOPTAartifact.1001;Of course I will buy it.;;;;;;;;;;;;;x
EVTOPTBartifact.1001;I have no need for it.;;;;;;;;;;;;;x
EVTDESCartifact.1002;A treveling merchant presents himself to you, he offers you to buy many rare good among whom there is a Gwyhyr sword. The merchant is willing to sell the sword, although for a heafty sum.;;;;;;;;;;;;;x
EVTOPTAartifact.1002;Of course I will buy it.;;;;;;;;;;;;;x
EVTOPTBartifact.1002;I have no need for it.;;;;;;;;;;;;;x
EVTDESCartifact.1003;The Gwyhr sword you recently bought turned out to be fake. After one swing the sword broke apart.;;;;;;;;;;;;;x
EVTOPTAartifact.1003;Damn, I have been cheated.;;;;;;;;;;;;;x
EVTDESCartifact.1010;I own a Purple Living Bone and a Conynhaela, these plants both have strong healing properties but together they compliment each other even more allowing to cure practically any injury.;;;;;;;;;;;;;x
EVTOPTAartifact.1010;They should be used together.;;;;;;;;;;;;;x
EVTDESCartifact.1011;You have decide to use Purple Living Bone and a Conynhaela to cure yourself. The procedure isn't pleasant, first the Conynhaela penetrate the skin and grow roots in your body, after that the Purple Living Bone enters your body and reinforce and regenerate your bones.;;;;;;;;;;;;;x
EVTOPTAartifact.1011;I already feel better.;;;;;;;;;;;;;x
EVTDESCartifact.1012;On a stroll through the thick forests of Brokilon you came upon a small patch of land with sun shining through the tops of trees. Such places are rare in Brokilon and very suitable for finding healing plants.;;;;;;;;;;;;;x
EVTOPTAartifact.1012;I will certainly find a rare herb here.;;;;;;;;;;;;;x
EVTOPTBartifact.1012;To take something on must give in return, yet I have nothing to give.;;;;;;;;;;;;;x
EVTDESCartifact.1013;You succesfully manage to gather the Conynhaela.;;;;;;;;;;;;;x
EVTOPTAartifact.1013;Ok.
EVTDESCartifact.1014;You succesfully manage to gather the Purple Living Bone.;;;;;;;;;;;;;x
EVTOPTAartifact.1014;Ok.
