#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
crown_obligation;Crown Obligations;;;;;;;;;;;;;x
crown_obligation_desc;Crown Obligations represent the various obligations of vassals against you.;;;;;;;;;;;;;x
crown_obligation_0;Minimal Crown Obligations;;;;;;;;;;;;;x
crown_obligation_0_desc;Crown Obligations represent the various obligations of vassals against you.;;;;;;;;;;;;;x
crown_obligation_0_option;Min;;;;;;;;;;;;;x
crown_obligation_1;Low Crown Obligations;;;;;;;;;;;;;x
crown_obligation_1_desc;Crown Obligations represent the various obligations of vassals against you.;;;;;;;;;;;;;x
crown_obligation_1_option;Low;;;;;;;;;;;;;x
crown_obligation_2;Medium Crown Obligations;;;;;;;;;;;;;x
crown_obligation_2_desc;Crown Obligations represent the various obligations of vassals against you.;;;;;;;;;;;;;x
crown_obligation_2_option;Medium;;;;;;;;;;;;;x
crown_obligation_3;High Crown Obligations;;;;;;;;;;;;;x
crown_obligation_3_desc;Crown Obligations represent the various obligations of vassals against you.;;;;;;;;;;;;;x
crown_obligation_3_option;High;;;;;;;;;;;;;x
crown_levy;Crown Levy;;;;;;;;;;;;;x
crown_levy_desc;Crown Levy dictate how many levies vassals have to give you, which will override their opinion of you and your demesne laws if they'd result in less levies.;;;;;;;;;;;;;x
crown_levy_0;No Crown Levy;;;;;;;;;;;;;x
crown_levy_0_desc;Crown Levy dictate how many levies vassals have to give you, which will override their opinion of you and your demesne laws if they'd result in less levies.;;;;;;;;;;;;;x
crown_levy_0_option;None;;;;;;;;;;;;;x
crown_levy_1;Low Crown;;;;;;;;;;;;;x
crown_levy_1_desc;Crown Levy dictate how many levies vassals have to give you, which will override their opinion of you and your demesne laws if they'd result in less levies.;;;;;;;;;;;;;x
crown_levy_1_option;Low;;;;;;;;;;;;;x
crown_levy_2;Medium Crown Levy;;;;;;;;;;;;;x
crown_levy_2_desc;Crown Levy dictate how many levies vassals have to give you, which will override their opinion of you and your demesne laws if they'd result in less levies.;;;;;;;;;;;;;x
crown_levy_2_option;Medium;;;;;;;;;;;;;x
crown_levy_3;High Crown Levy;;;;;;;;;;;;;x
crown_levy_3_desc;Crown Levy dictate how many levies vassals have to give you, which will override their opinion of you and your demesne laws if they'd result in less levies.;;;;;;;;;;;;;x
crown_levy_3_option;High;;;;;;;;;;;;;x
tolerance;Tolerance;;;;;;;;;;;;;x
tolerance_desc;Tolerance determines the rights of non-humans and various cultural and religional minorities of the realm.;;;;;;;;;;;;;x
tolerance_0;Intolerant;;;;;;;;;;;;;x
tolerance_0_desc;Tolerance determines the rights of non-humans and various cultural and religional minorities of the realm.;;;;;;;;;;;;;x
tolerance_0option;Intolerant;;;;;;;;;;;;;x
tolerance_1;Neutral;;;;;;;;;;;;;x
tolerance_1_desc;Tolerance determines the rights of non-humans and various cultural and religional minorities of the realm.;;;;;;;;;;;;;x
tolerance_1_option;Neutral;;;;;;;;;;;;;x
tolerance_2;Tolerant;;;;;;;;;;;;;x
tolerance_2_desc;Tolerance determines the rights of non-humans and various cultural and religional minorities of the realm.;;;;;;;;;;;;;x
tolerance_2_option;Tolerant;;;;;;;;;;;;;x
