#employment_decisions
employ_priest_female;Invite Priestess to Court;;;;;;;;;;;;;x
employ_priest_female_desc;Scour the land for a priestess to join my court and advise me on religious matters.;;;;;;;;;;;;;x
employ_soldier;Invite Soldier to Court;;;;;;;;;;;;;x
employ_soldier_desc;Invite a promising soldier to court, to aid with military matters.;;;;;;;;;;;;;x
employ_spy;Invite Spy to Court;;;;;;;;;;;;;x
employ_spy_desc;Invite a promising spy to court, to aid with matters of intrigue.;;;;;;;;;;;;;x
employ_diplomat;Invite Diplomat to Court;;;;;;;;;;;;;x
employ_diplomat_desc;Invite a promising diplomat to court, to aid with diplomatic matters.;;;;;;;;;;;;;x
# W_banker_decisions
borrow_money;Take a loan;;;;;;;;;;;;;x
borrow_money_desc;I can request a loan from the bank, the term to repay the loan is 10 years with 20 percent interest. The size of the loan can be up to 300¤.;;;;;;;;;;;;;x
bank_is_deliberating;Bank is already deliberating th size of loan;;;;;;;;;;;;;x
decide_size_of_loan;The bank will decide the size of loan.;;;;;;;;;;;;;x
# W_capital_movement_decisions
make_wyzima_capital;Make Wyzima Capital;;;;;;;;;;;;;x
make_wyzima_capital_desc;The city of Wyzima has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Kingdom.;;;;;;;;;;;;;x
wyzima_capital;Wyzima once more becomes the seat of your power.;;;;;;;;;;;;;x
make_tretogor_capital;Make Tretogor Capital;;;;;;;;;;;;;x
make_tretogor_capital_desc;The city of Tretogor has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Kingdom.;;;;;;;;;;;;;x
tretogor_capital;Tretogor once more becomes the seat of your power.;;;;;;;;;;;;;x
make_nilfgaard_capital;Make Nilfgaard Capital;;;;;;;;;;;;;x
make_nilfgaard_capital_desc;The city of Nilfgaard has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Empire.;;;;;;;;;;;;;x
# W_faction_decisions
faction_succ_tanistry_ultimatum;Demand Succession by Tanistry;;;;;;;;;;;;;x
faction_succ_tanistry_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Tanistry. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_succ_ultimogeniture_ultimatum;Demand Succession by Ultimogeniture;;;;;;;;;;;;;x
faction_succ_ultimogeniture_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Ultimogeniture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
# W_feast_decisions
feast_dwarf;Hold a Feast;;;;;;;;;;;;;x
feast_dwarf_desc;Hold the biggest feast ever seen in the Kingdom!;;;;;;;;;;;;;x
hold_velen;Hold a Velen;;;;;;;;;;;;;x
hold_velen_desc;Hold a feast to celebrate the eight savaed of the year - autumn harvest!;;;;;;;;;;;;;x
velen_celebrations;The preparations for this year's Velen celebration begin.;;;;;;;;;;;;;x
hold_birke;Hold a Birke;;;;;;;;;;;;;x
hold_birke_desc;Hold a feast to celebrate the fourth savaed of the year - spring harvest!;;;;;;;;;;;;;x
birke_celebrations;The preparations for this year's Birke celebration begin.;;;;;;;;;;;;;x
# W_flaming_rose_decisions
vassalize_flaming_rose;Vassalize the Order of the Flaming Rose;;;;;;;;;;;;;;x
vassalize_flaming_rose_desc;As a ruler who have given a castle to the Order of the Flaming Rose, it is within my power to vassalize the Order at the cost of 500 gold.;;;;;;;;;;;;;x
expel_flaming_rose;Expel the Order of the Flaming Rose;;;;;;;;;;;;;x
expel_flaming_rose_desc;I can drive the Order of the Flaming Rose from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_flaming_rose;Donate 300¤ to the Order of the Flaming Rose;;;;;;;;;;;;;x
donate_money_to_flaming_rose_desc;I can donate money to the Order of the Flaming Rose in exchange for Piety.;;;;;;;;;;;;;x
# W_magic_decisions
employ_sorcerer;Invite Sorcerer to Court;;;;;;;;;;;;;x
employ_sorcerer_desc;Invite a learned sorcerer from one of the magic academies.;;;;;;;;;;;;;x
send_child_to_aretuza;Send [Root.GetFirstName] to Aretuza Academy;;;;;;;;;;;;;x
send_child_to_aretuza_desc;Send §Y[Root.GetFirstName]§! to Aretuza Academy to learn to control [Root.GetHerHis] magic talent.;;;;;;;;;;;;;x
send_child_to_ban_ard;Send [Root.GetFirstName] to Ban Ard Academy;;;;;;;;;;;;;x
send_child_to_ban_ard_desc;Send §Y[Root.GetFirstName]§! to Ban Ard Academy to learn to control [Root.GetHerHis] magic talent.;;;;;;;;;;;;;x
spell_druid_heal;Heal;;;;;;;;;;;;;x
spell_druid_heal_desc;Healing done by Druid is different than simple magic spell, it's careful treatment with herbs, a bit of magic and kindness.;;;;;;;;;;;;;x
spell_druid_heal_tooltip;§Y[Root.GetBestName]§! will lose '§YIll§!' '§YWounded§!' '§YStressed§!' and '§YDepressed§!';;;;;;;;;;;;;x
spell_heal;Heal;;;;;;;;;;;;;x
spell_heal_desc;Healing is a magic spell which can immediately close open wounds and mend broken bones.;;;;;;;;;;;;;x
spell_heal_tooltip;§Y[Root.GetBestName]§! will lose all bad health traits except '§YStressed§!' and '§YDepressed§!';;;;;;;;;;;;;x
spell_glamour;Glamour;;;;;;;;;;;;;x
spell_glamour_desc;Magic has many applications and one of them is making yourself beautiful by hiding the age and any bodily defects under a veil of magic.;;;;;;;;;;;;;x
spell_beautify_tooltip;§Y[Root.GetBestName]§! will gain the trait '§YAttractive§!' and will lose all bad congenitial traits;;;;;;;;;;;;;x
spell_siege;Siege with Magic;;;;;;;;;;;;;x
spell_siege_desc;Assist a siege with magic support.;;;;;;;;;;;;;x
