#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCmonster.1;Merchants have been coming to you and complaining about drowners. The creatures have ruined good that were left outside by the piers, and not for the first time, the merchants ask you to deal with the problem or they will take their trade elsewhere.;;;;;;;;;;;;;x
EVTOPTAmonster.1;A witcher will make short work of the critters.;;;;;;;;;;;;;x
send_witcher;Send a witcher;;;;;;;;;;;;;x
EVTOPTBmonster.1;I will hire for a witcher to deal with the monsters.;;;;;;;;;;;;;x
hire_witcher;Hire a witcher;;;;;;;;;;;;;x
EVTOPTCmonster.1;My soldiers are good enough.;;;;;;;;;;;;;x
send_your_soldiers;Send your solders;;;;;;;;;;;;;x
EVTOPTDmonster.1;I hold no responsibility for your goods, deal with the monsters yourself.;;;;;;;;;;;;;x
EVTDESCmonster.3;Honoured [Root.GetTitledName],\n\nI have taken care of the drowners as you requested.\n\nWitcher [FromFrom.GetFullName];;;;;;;;;;;;;x
EVTOPTAmonster.3;Ok.;;;;;;;;;;;;;x
EVTDESCmonster.4;The merchants have been patiently waiting for your promised witcher, but there still hasn't been any sign of him and their loses accumulate. The merchants ask you to finally deal with the drowners.;;;;;;;;;;;;;x
EVTOPTAmonster.4;A witcher will make short work of the critters.;;;;;;;;;;;;;x
EVTOPTBmonster.4; I will send my soldiers this time.;;;;;;;;;;;;;x
EVTOPTCmonster.4; Go plow yourselves.;;;;;;;;;;;;;x
EVTDESCmonster.5;The merchants are grateful to you - the soldiers you sent to deal with drowners were succesful and their goods are safe, from drowners at least.;;;;;;;;;;;;;x
EVTOPTAmonster.5;Great.;;;;;;;;;;;;;x
EVTDESCmonster.6;The merchants are complaining once more, the soldiers made even bigger mess than drowners, although the drowners have been disposed of.;;;;;;;;;;;;;x
EVTOPTAmonster.6;Damn.;;;;;;;;;;;;;x
EVTDESCmonster.10;Your courtiers are frightened as a ghost of your ancestors roam the halls during the night lamenting their hollow existences.;;;;;;;;;;;;;x
EVTOPTAmonster.10;Superstitious nonsense.;;;;;;;;;;;;;x
EVTOPTBmonster.10;[Root.Religion.GetRandomGodNameCap] save us!;;;;;;;;;;;;;x
EVTDESCmonster.20;A troll has been sighted in [Root.GetName], a local noble insists on hunting it down, but peasants ask you to spare it arguing that trolls are peaceful creatures and it would bring benefit to area by keeping bridges and roads in order.;;;;;;;;;;;;;x
EVTOPTAmonster.20;The troll will stay!;;;;;;;;;;;;;x
EVTOPTBmonster.20;Free the terrorized people of [Root.GetName] and kill the degenerate troll.;;;;;;;;;;;;;x
EVTDESCmonster.30;The Wild Hunt has been sighted galloping through sky on their skeletal steed. The procession were accmpanied by a storm and screaming winds.;;;;;;;;;;;;;x
EVTOPTAmonster.30;A bad omen.;;;;;;;;;;;;;x
