#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCregency.1;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Crown Obligation in the [Root.PrimaryTitle.Kingdom.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.1;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.1;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.2;My regent, [From.GetTitledName], has managed to push through a law lowering the Crown Obligation in the [Root.PrimaryTitle.Kingdom.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.2;I shall remember this...;;;;;;;;;;;;;x
EVTDESCregency.3;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Crown Levy in the [Root.PrimaryTitle.Kingdom.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.3;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.3;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.4;My regent, [From.GetTitledName], has managed to push through a law lowering the Crown Levy in the [Root.PrimaryTitle.Kingdom.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.4;I shall remember this...;;;;;;;;;;;;;x
EVTDESCregency.5;My position as regent to [Root.Liege.GetTitledName] would allow me to raise the Tolerance in the [Root.PrimaryTitle.Kingdom.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.5;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.5;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.6;My regent, [From.GetTitledName], has managed to push through a law raising the Tolerance in the [Root.PrimaryTitle.Kingdom.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.6;I shall remember this...;;;;;;;;;;;;;x
EVTDESCregency.7;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Tolerance in the [Root.PrimaryTitle.Kingdom.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.7;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.7;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.8;My regent, [From.GetTitledName], has managed to push through a law lowering the Tolerance in the [Root.PrimaryTitle.Kingdom.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.8;I shall remember this...;;;;;;;;;;;;;x
EVTDESCregency.10;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Crown Obligation in the [Root.PrimaryTitle.Empire.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.10;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.10;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.11;My regent, [From.GetTitledName], has managed to push through a law lowering the Crown Obligation in the [Root.PrimaryTitle.Empire.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.11;I shall remember this...;;;;;;;;;;;;;x
EVTDESCregency.12;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Crown Levy in the [Root.PrimaryTitle.Empire.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.12;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.12;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.13;My regent, [From.GetTitledName], has managed to push through a law lowering the Crown Levy in the [Root.PrimaryTitle.Empire.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.13;I shall remember this...;;;;;;;;;;;;;x
EVTDESCregency.14;My position as regent to [Root.Liege.GetTitledName] would allow me to raise the Tolerance in the [Root.PrimaryTitle.Empire.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.14;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.14;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.15;My regent, [From.GetTitledName], has managed to push through a law raising the Tolerance in the [Root.PrimaryTitle.Empire.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.15;I shall remember this...;;;;;;;;;;;;;x
EVTDESCregency.16;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Tolerance in the [Root.PrimaryTitle.Kingdom.GetName]...;;;;;;;;;;;;;x
EVTOPTAregency.16;Make it so!;;;;;;;;;;;;;x
EVTOPTBregency.16;No, the Crown comes first!;;;;;;;;;;;;;x
EVTDESCregency.17;My regent, [From.GetTitledName], has managed to push through a law lowering the Tolerance in the [Root.PrimaryTitle.Kingdom.GetName]!;;;;;;;;;;;;;x
EVTOPTAregency.17;I shall remember this...;;;;;;;;;;;;;x
