EVTDESCvarious_trait.1;I am extremely lazy, and I never want to do anything. Today, I don’t feel like attending to my official duties.;;;;;;;;;;;x
EVTOPTAvarious_trait.1;A nap sounds good.;;;;;;;;;;;x
EVTOPTBvarious_trait.1;I think I’ll go eat some tasty food.;;;;;;;;;;;x
EVTOPTCvarious_trait.1;The work I’ve already done is good enough, anyways.;;;;;;;;;;;x
EVTOPTDvarious_trait.1;I’m just scared of interacting with others to be honest.;;;;;;;;;;;x
EVTDESCvarious_trait.2;I apparently fell asleep while working hard last night. Perhaps I am overworking myself too hard.;;;;;;;;;;;x
EVTOPTAvarious_trait.2;Maybe I should take a break…;;;;;;;;;;;x
EVTOPTBvarious_trait.2;No! I am not working hard enough!;;;;;;;;;;;x
EVTOPTCvarious_trait.2;I will pray to [Root.Religion.GetRandomGodName] for strength.;;;;;;;;;;;x
EVTOPTDvarious_trait.2;This is nothing, I feel as strong as ever!;;;;;;;;;;;x
EVTDESCvarious_trait.3;While looking for cheap merchandise at the summer fair, you notice a large coin purse lying on the ground. Nobody seemed to notice it, and its owner didn’t seem to be around. You are very much tempted to take it…;;;;;;;;;;;x
EVTOPTAvarious_trait.3;Yes! Free money! All mine, all mine!;;;;;;;;;;;x
EVTOPTBvarious_trait.3;I should find the purse’s owner and give it back.;;;;;;;;;;;x
EVTOPTCvarious_trait.3;I’m too lazy to take it.;;;;;;;;;;;x
EVTOPTDvarious_trait.3;In the name of justice, I can’t steal this.;;;;;;;;;;;x
EVTDESCvarious_trait.4;While browsing merchandise at the summer fair, you come across a young, sweet beggar girl. Her plight moves your heart, and you wish to help her in whatever way you can.;;;;;;;;;;;x
EVTOPTAvarious_trait.4;Give the lass my entire purse.;;;;;;;;;;;x
EVTOPTBvarious_trait.4;Bring the girl to a local abbey, where the nuns will take care of her.;;;;;;;;;;;x
EVTOPTCvarious_trait.4;Bring her some of the food from yesterday’s feast immediately!;;;;;;;;;;;x
EVTOPTDvarious_trait.4;Hire her as a serving girl. She'll be better off this way.;;;;;;;;;;;x
EVTDESCvarious_trait.5;Although I am suffering greatly from an ailment, I don’t really mind it one bit. Strange as some may think of this, I am absolutely content with my current situation.;;;;;;;;;;;x
EVTOPTAvarious_trait.5;I’ll be happy, whatever comes my way.;;;;;;;;;;;x
EVTOPTBvarious_trait.5;This is will of [Root.Religion.GetRandomGodName], after all!;;;;;;;;;;;x
EVTOPTCvarious_trait.5;Bah, this affliction is nothing.;;;;;;;;;;;x
EVTOPTDvarious_trait.5;Everyone suffers, eventually. Why feel anxious about it?;;;;;;;;;;;x
EVTDESCvarious_trait.6;I want to improve my image as a [Root.GetTitle]. If everyone knows me as a great ruler, it will be much easier for me to achieve my ambitions. Thus, I want to be known as a great ruler because of…;;;;;;;;;;;x
EVTOPTAvarious_trait.6;My glory and honor.;;;;;;;;;;;x
EVTOPTBvarious_trait.6;My good and benevolent rule.;;;;;;;;;;;x
EVTOPTCvarious_trait.6;My piety.;;;;;;;;;;;x
EVTOPTDvarious_trait.6;The fear I strike into the hearts of my subjects and enemies.;;;;;;;;;;;x
EVTDESCvarious_trait.7;A silence enveloped the room when I judged the felon to death. It was a sentence I handed out on a whim, even if it was perhaps a bit harsh.;;;;;;;;;;;x
EVTOPTAvarious_trait.7;He… he did deserve it, right?;;;;;;;;;;;x
EVTOPTBvarious_trait.7;I’ll… I’ll just remain silent like everyone.;;;;;;;;;;;x
EVTDESCvarious_trait.8;Throughout the land, the peasants are singing songs in praise of your just rule. Your capable leadership has made the realm a prosperous and affluent place.;;;;;;;;;;;x
EVTOPTAvarious_trait.8;Good.;;;;;;;;;;;x
EVTOPTBvarious_trait.8;Justice is blind!;;;;;;;;;;;x
EVTDESCvarious_trait.9;Because of your notorious rage, no one in your court dares to criticize you for anything.;;;;;;;;;;;x
EVTOPTAvarious_trait.9;I rule my realm as I please.;;;;;;;;;;;x
EVTOPTBvarious_trait.9;A good ruler listens to others. Maybe I should control myself.;;;;;;;;;;;x
EVTOPTCvarious_trait.9;But… I want people to trust and love me.;;;;;;;;;;;x
EVTOPTDvarious_trait.9;In fact, my enemies fear me too!;;;;;;;;;;;x
EVTDESCvarious_trait.10;Being a very patient person, I always try to hear others’ opinions before making a decision, because…;;;;;;;;;;;x
