#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;x
northern;Northern;;;;;;;;x
skellige;Skellige;;;;;;;;x
cidarian;Cidarian;;;;;;;;x
temerian;Temerian;;;;;;;;x
lyrian;Lyrian;;;;;;;;x
aedirnian;Aedirnian;;;;;;;;x
redanian;Redanian;;;;;;;;x
kaedweni;Kaedweni;;;;;;;;x
koviri;Koviri;;;;;;;;x
elven;Elven;;;;;;;;x
dwarven;Dwarven;;;;;;;;x
dryad;Dryad;;;;;;;;x
druid;Druid;;;;;;;;x
verdenian;Verdenian;;;;;;;;x
bruggian;bruggian;;;;;;;;x
sodden;sodden;;;;;;;;x
nilfgaardian;nilfgaardian;;;;;;;;x
cintran;cintran;;;;;;;;x
elder;Elder race;;;;;;;;x
poviss;Poviss;;;;;;;;x
hengfors;Hengfors;;;;;;;;x
