EVTDESCpersonality.01;I have a fun game I can play together with my friends - hit the pointy-eared freak.;;;;;;;;;;;x
EVTOPTApersonality.01;It's fun!;;;;;;;;;;;x
EVTDESCpersonality.02;My [GetFromRelation] [From.GetFirstName] with some other children have been bullying an elf child.;;;;;;;;;;;x
EVTOPTApersonality.02;Non-humans deserve no pity.;;;;;;;;;;;x
EVTOPTBpersonality.02;[From.GetSheHeCap] should not bully someone because he looks different.;;;;;;;;;;;x
EVTDESCpersonality.03;My [GetFromRelation] said I shouldn't bully non-humans.;;;;;;;;;;;x
EVTOPTApersonality.03;Oh, well.;;;;;;;;;;;x
EVTDESCpersonality.04;Some of my friends look different than me.;;;;;;;;;;;x
EVTOPTApersonality.04;It's funny to play with them.;;;;;;;;;;;x
EVTDESCpersonality.05;My [GetFromRelation] [From.GetFirstName] has been seen playing with some non-human children.;;;;;;;;;;;x
EVTOPTApersonality.05;[From.GetSheHeCap] can play with whom [From.GetSheHe] wants.;;;;;;;;;;;x
EVTOPTBpersonality.05;Humans should not mingle with lesser races.;;;;;;;;;;;x
EVTDESCpersonality.06;My [GetFromRelation] forbade me from playing with non-humans.;;;;;;;;;;;x
EVTOPTApersonality.06;Who will I play with now.;;;;;;;;;;;x
EVTDESCpersonality.07;A courtier asked me to resolve his quarrel with a servant - an elf. The dispute was a trivial matter and the elf was right no matter how you look at it.;;;;;;;;;;;x
EVTOPTApersonality.07;No elf should speak against his betters!;;;;;;;;;;;x
EVTOPTBpersonality.07;It's obvious that the servant is right.;;;;;;;;;;;x
EVTDESCpersonality.08;[FromFrom.GetFirstName] thinks humans are superior to other races. [FromFrom.GetSheHeCap] has gained the Racist trait.;;;;;;;;;;;x
EVTDESCpersonality.09;Humans are the superior race. I've gained the Racist tarit.;;;;;;;;;;;x
EVTDESCpersonality.10;[FromFrom.GetFirstName] sees all races as equal. [FromFrom.GetSheHeCap] has gained the Tolerant trait.;;;;;;;;;;;x
EVTDESCpersonality.11;Deep down all the races are the same. I've gained the Tolerant trait.;;;;;;;;;;;x
;;;;;;;;;;;;x
