#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Generic religious;;;;;;;;;;;;;;x
temple_baron;Priest;;;;;;;;;;;;;x
temple_baron_female;Priestess;;;;;;;;;;;;;x
temple_count;High Priest;;;;;;;;;;;;;x
temple_count_female;High Priestess;;;;;;;;;;;;;x
temple_duke;Archpriest;;;;;;;;;;;;;x
temple_duke_female;Archpriestess;;;;;;;;;;;;;x
temple_king;Archpriest;;;;;;;;;;;;;x
temple_king_female;Archpriestess;;;;;;;;;;;;;x
job_spiritual_nature;Court Priest;;;;;;;;;;;;;x
job_spiritual_female_nature;Court Priestess;;;;;;;;;;;;;x
PRIEST;priest;;;;;;;;;;;;;x
# Nature religion;;;;;;;;;;;;;;x
temple_baron_nature;Druid;;;;;;;;;;;;;x
temple_count_nature;Elder Druid;;;;;;;;;;;;;x
temple_duke_nature;Hierophant;;;;;;;;;;;;;x
temple_duke_female_nature;Flaminica;;;;;;;;;;;;;x
temple_king_nature;Hierophant;;;;;;;;;;;;;x
temple_king_female_nature;Flaminica;;;;;;;;;;;;;x
job_spiritual_nature;Court Druid;;;;;;;;;;;;;x
DRUID;druid;;;;;;;;;;;;;x
