EVTDESCwitcher.1;I haven't had any work suitable to a witcher in some time, maybe it's time to move on.;;;;;;;;;;;;;x
EVTOPTAwitcher.1;I should ask [Liege.GetTitledFirstName] first.;;;;;;;;;;;;;x
EVTDESCwitcher.2;[From.GetFullName], a witcher in your employment has expressed his desire to leave your court.;;;;;;;;;;;;;x
EVTOPTAwitcher.2;He can surely stay for a while longer.;;;;;;;;;;;;;x
EVTOPTBwitcher.2;Some gold will change his mind.;;;;;;;;;;;;;x
EVTOPTCwitcher.2;He can leave if he wishes to.;;;;;;;;;;;;;x
EVTDESCwitcher.3;[liege.GetTitledFirstName] asked me to reconsider and stay for a while longer.;;;;;;;;;;;;;x
EVTOPTAwitcher.3;Very well, I can stay for a bit.;;;;;;;;;;;;;x
EVTOPTBwitcher.3;I have already decided to leave.;;;;;;;;;;;;;x
EVTDESCwitcher.4;[liege.GetTitledFirstName] have offered me a considerable sum of gold if I continue to provide my services as a witcher.;;;;;;;;;;;;;x
EVTOPTAwitcher.4;It's not like I wanted to leave.;;;;;;;;;;;;;x
EVTOPTBwitcher.4;Few coins will not change my mind.;;;;;;;;;;;;;x
EVTDESCwitcher.5; I will leave to...;;;;;;;;;;;;;x
EVTOPTAwitcher.5;... neighbor province with monster problems.;;;;;;;;;;;;;x
EVTOPTBwitcher.5;... random neighbor province where I haven't visited recently.;;;;;;;;;;;;;x
EVTOPTCwitcher.5;... random neighbor province.;;;;;;;;;;;;;x
EVTOPTDwitcher.5; ... the court of a ruler who invited me.;;;;;;;;;;;;;x
EVTDESCwitcher.6;[From.GetFullName] will stay in your court for a while longer.;;;;;;;;;;;;;x
EVTDESCwitcher.7;Gold can change any man's mind, [From.GetFullName] accepted your gift and will stayin your court for a while longer.;;;;;;;;;;;;;x
EVTDESCwitcher.8;[From.GetFullName] has left your court to seek employment elsewhere.;;;;;;;;;;;;;x
EVTDESCwitcher.9;A witcher has arrived in your court offering his services.;;;;;;;;;;;;;x
EVTOPTAwitcher.9;Very well.;;;;;;;;;;;;;x
EVTOPTBwitcher.9;I have no need for witcher.;;;;;;;;;;;;;x
EVTDESCwitcher.100;The currently living witchers are...;;;;;;;;;;;;;x
EVTOPTAwitcher.100;OK;;;;;;;;;;;;;x
EVTDESCwitcher.201;§Y[From.GetFullName]§! has hunted down monsters inhabiting §Y[Root.GetName]§!.;;;;;;;;;;;;;x
invite_witcher_to_court;Invite a witcher;;;;;;;;;;;;;x
invite_witcher_to_court_desc;You have a job that witcher could help with.;;;;;;;;;;;;;x
list_witchers;List witchers;;;;;;;;;;;;;x
list_witchers_desc;All witchers currently alive will be listed.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
