EVTDESC1000053005;The Rain is continuing in [Root.GetName] and we haven't seen a blue sky for weeks. We need sufficient rain for our fields, but exessive rain will cause a bad crop in comming autumn.;;;;;;;;;;;x
EVTOPTA1000053005;We pray some patron saints against rain.;;;;;;;;;;;x
EVTDESC1000053006;The weather in [Root.GetName] is extremely cold in this year. A cool summer is welcome, however poor people are dying at cold and peasants begin to worry about their crops in autumn.;;;;;;;;;;;x
EVTOPTA1000053006;Saint Eurosia and Medard, please help us!;;;;;;;;;;;x
EVTDESC1000053007;Because of bad weathers or deamon's work, the crops in [Root.GetName] is terrible in this year. We have to prepare the coming food shortage.;;;;;;;;;;;x
EVTOPTA1000053007;Let's hope that we can survive this winter.;;;;;;;;;;;x
EVTDESC1000053008;The bad crops brought a serious famine in [Root.GetName]! There is nothing to eat and the peasants sell their family as slave. They might be still happier than the people who have been dead at hungry.;;;;;;;;;;;x
EVTOPTA1000053008;Buy foods and help poor peasants and citizens!;;;;;;;;;;;x
EVTOPTB1000053008;Let them eat cake!;;;;;;;;;;;x
EVTDESC1000053009;Thanks for the protection of God and our patron saints, we have good crops in [Root.GetName]. We can hold a great harvest feast in this year!;;;;;;;;;;;x
EVTOPTA1000053009;We have no worry about this winter.;;;;;;;;;;;x
long_rain;Long Rain;;;;;;;;;;;x
cold_weather;Cold Weather;;;;;;;;;;;x
bad_crops;Bad Crops;;;;;;;;;;;x
serious_famine;Famine;;;;;;;;;;;x
good_crops;Good Crops;;;;;;;;;;;x
